Processed_Sentence,Etiket
yildizlararasi,bilim kurgu
baba eskiden çiftçi,bilim kurgu
tıpkı zamanla,bilim kurgu
iş çiftçi değil,bilim kurgu
bilgisayar veri durum kritik,bilim kurgu
sor,bilim kurgu
boğaz geç,bilim kurgu
kapat cooper,bilim kurgu
hayır,bilim kurgu
durdur,bilim kurgu
hayır güç geri ver,bilim kurgu
baba,bilim kurgu
murph,bilim kurgu
yatak dön,bilim kurgu
hayalet san,bilim kurgu
hayalet yok,bilim kurgu
büyük baba ol de,bilim kurgu
büyükbaba hayalet ol yakın,bilim kurgu
yatak dön,bilim kurgu
rüya kaza gör,bilim kurgu
yatak git murph,bilim kurgu
buğday öl,bilim kurgu
küf gel yak zor kal,bilim kurgu
mısır,bilim kurgu
yüzlerce dönü mısır,bilim kurgu
herşey toz toprak iç,bilim kurgu
tarif et,bilim kurgu
sürekli kum fırtına,bilim kurgu
toz bulut durmadan etraf uçuş,bilim kurgu
yan kumaş parça taş,bilim kurgu
toz hava solu ağız burn sar,bilim kurgu
tabak masa ters koy,bilim kurgu
bardak kase hepsi ters yerleş,bilim kurgu
haydi hızlı,bilim kurgu
murph masa gel,bilim kurgu
tom bugün saat 4 ambar otkıran direnç ders çalış,bilim kurgu
tamam,bilim kurgu
masa oyna tatlı,bilim kurgu
baba onar mi,bilim kurgu
uzay araç yap,bilim kurgu
yap,bilim kurgu
dur tahmin et hayalet,bilim kurgu
raf aşağı at,bilim kurgu
anla,bilim kurgu
hayalet yok aptal,bilim kurgu
araştır umacı de,bilim kurgu
baba anlat,bilim kurgu
bilimsel murph,bilim kurgu
bili bilinmeyen kabul et sölyemiştin,bilim kurgu
fena sıkış,bilim kurgu
eşya özen davran,bilim kurgu
cooper,bilim kurgu
murph,bilim kurgu
bili hakkında konuş iste,bilim kurgu
hayalet kork söyle,bilim kurgu
olay derin,bilim kurgu
sonuç var,bilim kurgu
gerçek ele analiz araştır,bilim kurgu
anlaş,bilim kurgu
anlaş,bilim kurgu
zaman,bilim kurgu
okul güzel gün geçir,bilim kurgu
dur bak,bilim kurgu
ebeveyn öğretmen görüşme,bilim kurgu
ad üst ebeveyn büyükbaba,bilim kurgu
sakin turbo,bilim kurgu
kum fırtına,bilim kurgu
nelson ekin yak,bilim kurgu
küf,bilim kurgu
son bamya hasat söyle,bilim kurgu
kök kuru,bilim kurgu
mısır ek,bilim kurgu
bayan henley davran bekar,bilim kurgu
demek,bilim kurgu
nüfus çoğal,bilim kurgu
se üzerine düş yap genç ada,bilim kurgu
iş ilgilen yaş ada,bilim kurgu
murphy iki geç bak,bilim kurgu
üç geç,bilim kurgu
geçir aptal,bilim kurgu
kapat çene tom,bilim kurgu
yap murph,bilim kurgu
yap,bilim kurgu
lastik patla,bilim kurgu
murphy yas,bilim kurgu
kapat çene,bilim kurgu
yedek çık tom,bilim kurgu
yedek,bilim kurgu
yama set getir,bilim kurgu
yama yap,bilim kurgu
hallet,bilim kurgu
siz yar et yan ol,bilim kurgu
bak murph,bilim kurgu
kötü anlam is ver,bilim kurgu
hayır kötü anlam is ver,bilim kurgu
murphy yas,bilim kurgu
murphy yas kötü anla gel,bilim kurgu
şey ol var anlam gel,bilim kurgu
anne anlam gel,bilim kurgu
araba bin,bilim kurgu
haydi git,bilim kurgu
patlak lastik ol,bilim kurgu
hint hava kuvvet nin sonda,bilim kurgu
güneş enerji batarya tarla biç yeter,bilim kurgu
direksiyon geç,bilim kurgu
haydi haydi,bilim kurgu
ante tut,bilim kurgu
tom sakın kaybet,bilim kurgu
tut,bilim kurgu
sabit dur,bilim kurgu
başla,bilim kurgu
aferin tom,bilim kurgu
yakala üzere dur,bilim kurgu
sakın dur,bilim kurgu
baba,bilim kurgu
dur,bilim kurgu
sür devam et söyle,bilim kurgu
uçur aşağı sür de zaman hak,bilim kurgu
kaybet,bilim kurgu
hayır et,bilim kurgu
dene mi,bilim kurgu
baraj düzlük indir,bilim kurgu
güzel indir,bilim kurgu
kadar uç,bilim kurgu
delhi makine program biz aynı zaman kapat,bilim kurgu
yıl,bilim kurgu
yıldır uç,bilim kurgu
alçak uç,bilim kurgu
bil,bilim kurgu
güneş devre yak ara,bilim kurgu
düz uç tornavida ver,bilim kurgu
sinyal ara bil,bilim kurgu
o yap,bilim kurgu
sosyal sorumluluk ver,bilim kurgu
biçerdöver sür,bilim kurgu
bırak git,bilim kurgu
kimse zarar yok,bilim kurgu
uyum sağla öğren murph,bilim kurgu
tıpkı hep,bilim kurgu
ol ben gelecek mi,bilim kurgu
ders eleman bekle,bilim kurgu
yap,bilim kurgu
görüşme anlat,bilim kurgu
sinirlen,bilim kurgu
ol,bilim kurgu
sinirlen çalış,bilim kurgu
pekala,bilim kurgu
rahat,bilim kurgu
gecik coop,bilim kurgu
lastik patla,bilim kurgu
yol gel asya uçak pazar uğra san,bilim kurgu
insan keşif uçak efendim,bilim kurgu
olağanüstü hint mal sol panel,bilim kurgu
hint mal,bilim kurgu
otur bak,bilim kurgu
tom puan el geç,bilim kurgu
muhteşem çiftçi ol,bilim kurgu
çiftçi ilgi üniversite,bilim kurgu
üniversite avuç dolusu çocuk al yeter,bilim kurgu
vergi öde,bilim kurgu
parala git,bilim kurgu
ordu,bilim kurgu
belli üniversite git,bilim kurgu
coop fark var,bilim kurgu
oğul üniversite şans el al,bilim kurgu
15 yaş,bilim kurgu
tom puan yeterli,bilim kurgu
bel ölçün kaç 82 santi,bilim kurgu
i̇ç bacak ölçü 83 santi falan,bilim kurgu
var çalış anla,bilim kurgu
kıç ölü al rakam yet,bilim kurgu
oğul gel rakam yeterli,bilim kurgu
haydi,bilim kurgu
eğitim adams coop pilot,bilim kurgu
mühendis,bilim kurgu
an fazla mühendis ihtiyaç,bilim kurgu
televizyon uçak tüken,bilim kurgu
ye bit,bilim kurgu
dünya çiftçi ihtiyaç,bilim kurgu
çiftilere,bilim kurgu
tom eğitim çiftçi ol,bilim kurgu
gelecek nesil düşün coop,bilim kurgu
i̇şler gitgide düzel,bilim kurgu
torun iste eğitim i̇şimiz bitti bay,bilim kurgu
hayır,bilim kurgu
bayan henley murph hakkında konuş,bilim kurgu
murph harika çocuk,bilim kurgu
gerçekten akıl,bilim kurgu
son zaman sıkıntı yaşa,bilim kurgu
in kitap sınıf getir arkadaş göster,bilim kurgu
eski kitap,bilim kurgu
resim bak sev,bilim kurgu
eski federal kitap,bilim kurgu
düzelt versiyon değiş,bilim kurgu
düzelt,bilim kurgu
sovyet iflas örtbas,bilim kurgu
et apollo görev kurgula açık,bilim kurgu
in inan mu,bilim kurgu
bence zeki kurgula propaganda,bilim kurgu
sovyet işe yaramaz makine roket,bilim kurgu
yatırım kendi iflas sürükle,bilim kurgu
i̇şe yaramaz makine,bilim kurgu
20 yüzyıl gerek müsrif harca,bilim kurgu
tekrarla iste,bilim kurgu
çocuk an dünya öğret gerek,bilim kurgu
durum sürükle masal,bilim kurgu
işe yaramaz makine bahset mri makine,bilim kurgu
makine kal ol doktor kar öl,bilim kurgu
beyin kist gör,bilim kurgu
yer otur,bilim kurgu
söyle dinle,bilim kurgu
ol eş zaman,bilim kurgu
ara sakin kişi,bilim kurgu
eş üzgün bay cooper,bilim kurgu
murph apollo saçmalık,bilim kurgu
sınıf arkadaş yumruk yumruk kavga,bilim kurgu
biz çağır davranış hak,bilim kurgu
fikir alman ol düşün,bilim kurgu
bak de,bilim kurgu
yarın akşam maç,bilim kurgu
beysbol oyun ilgi art,bilim kurgu
favori tak oyna,bilim kurgu
şekerle gazoz al,bilim kurgu
san maç götür,bilim kurgu
geç,bilim kurgu
saye uzaklaş al,bilim kurgu
cooper,bilim kurgu
cooper konuş efendim,bilim kurgu
tarla biçerdöver sor,bilim kurgu
kumanda kapat tekrar,bilim kurgu
yap gel bak,bilim kurgu
teker teker tarla bura gel dur,bilim kurgu
pusula boz,bilim kurgu
mantetik çek,bilim kurgu
düş kitap özellik,bilim kurgu
söyle üzerinde çalış,bilim kurgu
raf oluş boşluk say,bilim kurgu
hayalet iletişim geç çalış,bilim kurgu
mors alfabe dene,bilim kurgu
mors alfabe,bilim kurgu
evet nokta tire alfabe,bilim kurgu
evet mors bil,bilim kurgu
kitap sen konuş çalış zannet,bilim kurgu
oluş anormal pusula gps leri ayarla,bilim kurgu
anormal ne,bilim kurgu
bil,bilim kurgu
manyetik çek ala üzerine inşa et ol,bilim kurgu
traktör kur anla,bilim kurgu
duy okul görüşme git,bilim kurgu
duy demek,bilim kurgu
ol unut başla donald,bilim kurgu
bizle kaşif öncü,bilim kurgu
bakıcı değil,bilim kurgu
çocuk gün yeni yap gel,bilim kurgu
mesela alet fikir bulun,bilim kurgu
gün yılbaş gibi,bilim kurgu
6 insan,bilim kurgu
hayal et çalış,bilim kurgu
hepsi sahip ol çalış,bilim kurgu
dünya kötü ye,bilim kurgu
tom ol,bilim kurgu
bura sensin,bilim kurgu
40 yıl erken geç doğ bil,bilim kurgu
kız savun huzur içinde yat,bilim kurgu
çocuk bil,bilim kurgu
özellikle murph,bilim kurgu
eskiden gökyüzü bak,bilim kurgu
yıldızla ara yer düşün,bilim kurgu
aşağı bak,bilim kurgu
toprak yer düşün,bilim kurgu
cooper iyi,bilim kurgu
beceri fırsat bul,bilim kurgu
üzgün,bilim kurgu
yiyecek ver toprak sırt çevir,bilim kurgu
et bekle,bilim kurgu
yanlış hatırla nisa ay,bilim kurgu
15 nisa,bilim kurgu
kanyon tepe aşağı gel başla,bilim kurgu
saat 13 30 civar,bilim kurgu
zaman gerçek oyun çaylak,bilim kurgu
zaman yiyecek bul meşgul,bilim kurgu
beysbol oyna vakit bul,bilim kurgu
beysbol maç mısır patlak yemek gel,bilim kurgu
sosis sandviç iste,bilim kurgu
okul adım takip söyle,bilim kurgu
bence harika,bilim kurgu
gerçekten harika,bilim kurgu
çiftçi nefret et baba,bilim kurgu
büyükbaba söyle,bilim kurgu
demek büyükbaba söyle,bilim kurgu
asıl önem düşün,bilim kurgu
yap iş sev,bilim kurgu
çiftlik sev,bilim kurgu
çok başarı çiftçi ol,bilim kurgu
git,bilim kurgu
büyük fırtına benze,bilim kurgu
haydi maske tak,bilim kurgu
tom murph,bilim kurgu
murph tom pencere kapalı,bilim kurgu
murph,bilim kurgu
hayalet,bilim kurgu
yastık,bilim kurgu
tom oda uyu,bilim kurgu
hayalet,bilim kurgu
yerçekimi,bilim kurgu
tom bırak kasaba in,bilim kurgu
şura temizle mi,bilim kurgu
dua etmen bit,bilim kurgu
mors murph iki kod,bilim kurgu
kalın 1 ince 0 demek,bilim kurgu
koordinat,bilim kurgu
hayır,bilim kurgu
i̇şte,bilim kurgu
kaçır,bilim kurgu
haydi,bilim kurgu
büyükbaba kaç saat gel murph,bilim kurgu
bak bul bil,bilim kurgu
i̇şte yüz götür,bilim kurgu
murph,bilim kurgu
büyükbaba gel,bilim kurgu
telsiz ara söyle,bilim kurgu
yap,bilim kurgu
komik san,bilim kurgu
ol ora bul,bilim kurgu
i̇yi zaman işe yar,bilim kurgu
murph,bilim kurgu
san yol son,bilim kurgu
cıvata keski getir mi,bilim kurgu
i̇şte kız,bilim kurgu
gel kim,bilim kurgu
dur ateş et silah,bilim kurgu
araba kız,bilim kurgu
kork,bilim kurgu
bura bul,bilim kurgu
kız,bilim kurgu
harita tesis koordinat işaret,bilim kurgu
koordinat bul,bilim kurgu
kız,bilim kurgu
bayıl iste,bilim kurgu
otur hemen,bilim kurgu
hala de kuvvet san dost,bilim kurgu
de kuvvet falan kal,bilim kurgu
bil mu,bilim kurgu
gibi çim biç,bilim kurgu
koordinat bul,bilim kurgu
ca çim biç iste,bilim kurgu
ben kalite elektrik süpürge çevir,bilim kurgu
hayır yap,bilim kurgu
tars geri çekil,bilim kurgu
eski askeri mal güvenlik kullan risk al,bilim kurgu
yaşlan kontrol mekanizma denge çalış,bilim kurgu
hükümet kadar ver,bilim kurgu
kim,bilim kurgu
doktor brand,bilim kurgu
eskiden doktor brand tanı profesör,bilim kurgu
olmadık bil,bilim kurgu
sevimli değil,bilim kurgu
doktor brand ne anla,bilim kurgu
kız endişelen yan iste,bilim kurgu
kız ver bil iste anlat,bilim kurgu
yönet kız toplantı oda yönlen,bilim kurgu
kız,bilim kurgu
akıl çocuk,bilim kurgu
zeki anne ol,bilim kurgu
ziyaretçi iste açık,bilim kurgu
sal sal hemen yol git,bilim kurgu
basit,bilim kurgu
basit,bilim kurgu
hakkında fikir,bilim kurgu
evet,bilim kurgu
baba,bilim kurgu
