Processed_Sentence,Etiket
baba,tarih
ryan kurtar,tarih
6 hazi̇ran 1944,tarih
yeşi̇l bölge omaha sahi̇li̇,tarih
rampa,tarih
30 saniye,tarih
tanrı yardımcı,tarih
i̇skele grup hazır,tarih
sancak grup hazır,tarih
hızlı davran hava yuva temizle,tarih
birbiri ara mesafe bırak,tarih
asker hedef asker mermi israf yap,tarih
silah kum uzak tut,tarih
emir harfiyen uy,tarih
sahil görüş,tarih
i̇lk hedef hava yuva,tarih
kenar atla,tarih
i̇skele sancak atla,tarih
haydi,tarih
halt et komutan,tarih
yüzbaşı mil,tarih
yüzbaşı mil,tarih
yüzbaşı mil,tarih
çavuş horvath,tarih
adam sahil uzaklaş,tarih
haydi,tarih
bey kıç ayrıl takip et,tarih
komutan top nokta,tarih
dış ye,tarih
de kenar set,tarih
de kenar set git,tarih
komutan kal,tarih
sahil boşaltı arkadan gel yol aç,tarih
tanrı kavuş engel ye,tarih
sahil santi görüş alan,tarih
kal tanrı kavuş,tarih
anne,tarih
anne,tarih
anne,tarih
birlik,tarih
104ncü sıhhiye tabur komutan,tarih
sahra ameliyat bura,tarih
ıvır zıvır kurtul,tarih
birer silah kap izle,tarih
vurul,tarih
briggs,tarih
götür,tarih
böğür vurul tanrı,tarih
sıhhiye,tarih
donan sahil tabur komutan,tarih
tank yol aç engel kaldır zor,tarih
zırh araç kanal su dip boyla,tarih
emir komutan,tarih
başka yer git bura temizle,tarih
haydi briggs,tarih
sıhhiye,tarih
devam et kımılda,tarih
devam devam et,tarih
muhabere destek,tarih
zırh sahil çık,tarih
sahil amfibik tank,tarih
1 temiz,tarih
komuta,tarih
sizsiniz efendim,tarih
çavuş horvath,tarih
emret,tarih
bulun yer teyit et mi,tarih
ol gerek yer yerinde,tarih
gerek yer,tarih
muhabere destek,tarih
öncü çıkar birlik etki,tarih
sahil kontrol,tarih
tekrar et sahil kontrol,tarih
birbiri karış efendim,tarih
el bölük geri kalan,tarih
donan tanıt kişi çıkar subay,tarih
muhabere destek,tarih
muhabere destek,tarih
amfibik merkez,tarih
amfibik merkez,tarih
reiben emir komutan,tarih
başka,tarih
jackson,tarih
mellish,tarih
caparzo,tarih
deforest geri wade,tarih
deforest kötü yarala wade hava 500 uç,tarih
wade durum ümit söyle,tarih
yar et biri yan git,tarih
git,tarih
tabur doktor efendim,tarih
dikkat çek,tarih
wade,tarih
yer yat,tarih
wade,tarih
wade,tarih
risk doktor,tarih
risk,tarih
wade,tarih
pekala al sahil,tarih
tamam,tarih
kana durdur,tarih
kana durdur,tarih
hassiktir,tarih
hassiktir,tarih
orospu çocuk şans ver,tarih
orospu çocuk puşt,tarih
yap,tarih
wade mellish,tarih
wade,tarih
git,tarih
git,tarih
git,tarih
lanet,tarih
i̇çimizden sağ kalan,tarih
fena hal dağıl durum,tarih
etraf kesin var,tarih
yeterli yeterli,tarih
1 görev bölge tahliye nokta sağ yarın ora ol,tarih
sol mi,tarih
hay lanet,tarih
hayır vierville bat düş,tarih
1 bölge,tarih
öldür,tarih
bura sıfır ihtimal gel adil,tarih
silah mühimmat topla,tarih
silah mühimmat topla,tarih
çek kum,tarih
reiben,tarih
hey reiben,tarih
reiben,tarih
reiben otomatik tüfek,tarih
kanal dip çavuş,tarih
kahpe yan çek,tarih
başka tane bul zaman,tarih
anti mayınla,tarih
anti may torpido getir,tarih
i̇stihkâmcılar gel,tarih
bomba,tarih
bomba,tarih
ulaş bura,tarih
anti mayınla saf,tarih
anti mayınla saf,tarih
kaldır kafa torpido gel,tarih
haydi haydi,tarih
jackson komutan,tarih
aman tanrı acı,tarih
tane tane ver,tarih
yar et,tarih
aman tanrı acı,tarih
öl,tarih
tanrı,tarih
tanrı tanrı,tarih
yerleş,tarih
gönder devam et,tarih
tanrı,tarih
haydi,tarih
şans,tarih
devam et,tarih
devam et,tarih
al,tarih
öl öl,tarih
durum kötü,tarih
bak bak,tarih
bak de,tarih
torpido,tarih
ye aç çakıl ara,tarih
patla çukur,tarih
patla çukur,tarih
patla çukur,tarih
patla çukur,tarih
savaş başla,tarih
çık,tarih
