Processed_Sentence,Etiket
gök baba,gerilim
ad kutsal kıl,gerilim
egemen gel,gerilim
gök yeryüzü iste,gerilim
bugün gündelik ekmek ver,gerilim
karşı suç işle bağışla,gerilim
suç bağışla,gerilim
ayart iz ver,gerilim
kötü ol kurtar,gerilim
egemen güç yüce,gerilim
sonsuz se,gerilim
amin,gerilim
hava kapalı ol sıcaklık eksi 5 derece düş,gerilim
yol buzlan açık,gerilim
yüz gece sapa bölge kaygan nokta,gerilim
büyükbaba öğret önem ne bil mu,gerilim
hazır,gerilim
fırt sel,gerilim
market yiyecek gel beniz tüken,gerilim
i̇nsanlar birbiri sırt çevir,gerilim
an ölüm ara kendi ol,gerilim
sen gurur duy oğul,gerilim
i̇yi atış,gerilim
pekala gel tatlı,gerilim
bekle bekle,gerilim
unut,gerilim
saniye bekle anna,gerilim
geyik et al ralph,gerilim
evet,gerilim
turta unut,gerilim
kamyonet al mu,gerilim
cadde karşı geç şapşal,gerilim
hadi bak,gerilim
anne bekle,gerilim
kucak,gerilim
pekala,gerilim
gittikçe ağır,gerilim
danny nin baba eski araba sat söyle,gerilim
yazın ihtiyaç para yarı birik,gerilim
düşün unut,gerilim
marangoz kazan ev taksit zor yet,gerilim
büyükbaba eski ev kira ver,gerilim
anne sürekli söyle eski,gerilim
tadilat servet öde,gerilim
yeter,gerilim
hadi,gerilim
gel,gerilim
merhaba,gerilim
şükran gün kutlu,gerilim
şükran gü kutlu,gerilim
anna davet et gir,gerilim
tanrı aşk,gerilim
keller gel içeri hemen,gerilim
keller vur geyik getir,gerilim
ralph vur,gerilim
evet,gerilim
öldür mutfak götür,gerilim
pekala,gerilim
teşekkür et,gerilim
şükran gü kutlu,gerilim
i̇şte,gerilim
teşekkür,gerilim
şükran gü kutlu,gerilim
gör sevin,gerilim
pekala,gerilim
joy,gerilim
joy,gerilim
joy,gerilim
maç kaçır,gerilim
oyuncak masa kaldır,gerilim
anna,gerilim
anna,gerilim
merhaba,gerilim
nasıl,gerilim
merhaba,gerilim
şükran gü kutlu,gerilim
anna bura gel,gerilim
davet et bekle,gerilim
pekala bu ilgilen,gerilim
veteriner kes iş kötü,gerilim
sor,gerilim
joy dışarı çık mi,gerilim
abi siz gel ikna et,gerilim
bere tak hastalık yeni geç,gerilim
joy bere tak,gerilim
geyik vur kötü hisset,gerilim
mcdonalds git inekle üzül mu,gerilim
baba söyle,gerilim
geyik gel fazla yavru var,gerilim
açlık öl,gerilim
nüfus denge tut,gerilim
hak,gerilim
baba söyle,gerilim
sert vur,gerilim
uzaklaş,gerilim
ver,gerilim
hadi git,gerilim
yap,gerilim
git de,gerilim
hayır yap,gerilim
kimse mal izin al,gerilim
hadi gel bura,gerilim
yap,gerilim
hayır git,gerilim
hadi bak hadi hadi,gerilim
bekle,gerilim
duy,gerilim
i̇çinde,gerilim
pekala azar işit,gerilim
hadi gel,gerilim
şükran gün,gerilim
okul yönet kurul bando üniforma para olmadık söyle,gerilim
çocuk hala zaman kal üniforma giy,gerilim
1979 dan bando tak,gerilim
ben konuş,gerilim
konuş,gerilim
tatlı,gerilim
aman tanrı,gerilim
hızlı,gerilim
hareket,gerilim
kaydırak,gerilim
teşekkür et,gerilim
herkes teşekkür,gerilim
sürpriz,gerilim
istek al,gerilim
evet,gerilim
hayır,gerilim
i̇yi dinle kolay,gerilim
anne,gerilim
anne joy ev götür mi,gerilim
kırmızı düdük,gerilim
ara yar,gerilim
hayat kırmızı düdük kaybol,gerilim
düdük,gerilim
baba tehlike anında kullan ver,gerilim
kaybet,gerilim
133 gün,gerilim
düdük bul iste ıslık çalma,gerilim
yüz bul jing bell çal,gerilim
zil çal batman kok robin yumurtla,gerilim
batmobil tekerlek patla joker anında vınla,gerilim
pekala pekala,gerilim
git,gerilim
ralph eliza siz gel,gerilim
bodrum bak,gerilim
bak,gerilim
bodrum uzak dur,gerilim
o zarar ver iste,gerilim
istek al keller,gerilim
gü istek,gerilim
piyano,gerilim
hayır hayır,gerilim
hazır mı,gerilim
dinle,gerilim
springsteen bayıl giyin,gerilim
gerçekten,gerilim
springsteen hala sev,gerilim
evet,gerilim
the river jersey girl,gerilim
beyaz değil evet,gerilim
sev,gerilim
üstat parça çal sarhoş,gerilim
teşekkür et,gerilim
tatlı başka,gerilim
akıl gel,gerilim
gel,gerilim
ulusal marş sever,gerilim
bil bil,gerilim
duş söyle,gerilim
söyle,gerilim
söyle,gerilim
tamam,gerilim
kardeş,gerilim
bul,gerilim
o ev git,gerilim
hayır,gerilim
bahset,gerilim
gerçekten,gerilim
git,gerilim
gel çağır,gerilim
bura gel,gerilim
hayır yemek gör,gerilim
sor,gerilim
merak et,gerilim
muhtemelen biz,gerilim
anna,gerilim
joy,gerilim
anna,gerilim
kız,gerilim
kız,gerilim
bulaşık bura koy,gerilim
boş ver,gerilim
dışarı değille,gerilim
yağmur başla,gerilim
arka salıncak bak,gerilim
evet,gerilim
bura gel dayak ye,gerilim
üzgün grace,gerilim
çocuk döv,gerilim
yokla,gerilim
ev ol,gerilim
bura,gerilim
hayır değille,gerilim
ev yokla mı,gerilim
yokla,gerilim
hayır ev yokla,gerilim
hayır yokla,gerilim
ev bak değille,gerilim
karavan,gerilim
karavan,gerilim
baba karavan o oyna,gerilim
i̇çinde düşün,gerilim
karavan,gerilim
nere,gerilim
göster,gerilim
bekle,gerilim
ev ara,gerilim
sakin,gerilim
sakin,gerilim
taraf git taraf buluş,gerilim
anna,gerilim
joy,gerilim
roger kız geç gör,gerilim
hayır,gerilim
sor,gerilim
anna,gerilim
baba bura park et,gerilim
anna,gerilim
anna,gerilim
gör mu,gerilim
hayır,gerilim
bul,gerilim
ev etraf dolaş mu,gerilim
hayır,gerilim
bura gel söyle,gerilim
gel,gerilim
karavan ora,gerilim
al,gerilim
karavan hatırla anlat,gerilim
