Processed_Sentence,Etiket
hadi sven,animasyon
elsa,animasyon
elsa,animasyon
uy uy hadi uy,animasyon
anna yatak dön,animasyon
dön,animasyon
gökyüzü uyan uyan,animasyon
oyna,animasyon
git baş oyna,animasyon
kar ada yap,animasyon
hadi hadi hadi,animasyon
sihir yap,animasyon
sihir yap,animasyon
hazır mı,animasyon
muhteşem,animasyon
bak,animasyon
sela,animasyon
olaf sıcak kucak sev,animasyon
sev olaf,animasyon
gıdıkla,animasyon
yakala,animasyon
tekrar,animasyon
dur,animasyon
yavaşla,animasyon
anna,animasyon
anna,animasyon
anne,animasyon
baba,animasyon
i̇yi mi anna,animasyon
yan bak,animasyon
elsa yap,animasyon
çığrından çık,animasyon
kazara,animasyon
özür dil anna,animasyon
buz ol,animasyon
git gerek bil,animasyon
buz,animasyon
hızlı sven,animasyon
sven,animasyon
yar et,animasyon
kız,animasyon
kral,animasyon
cüce,animasyon
sus duy çalış,animasyon
şekerle,animasyon
siz bak besle,animasyon
majeste,animasyon
güç doğuştan lanet,animasyon
doğuştan,animasyon
gün geç güçlen,animasyon
kalp şans,animasyon
kalp kolay kolay değiş,animasyon
akıl çel,animasyon
yap gerek yap,animasyon
sihir orta kaldır öner,animasyon
sihir alaka anı,animasyon
merak et eğlence kısım bırak,animasyon
i̇yileşecek,animasyon
güç hatırla,animasyon
böyle,animasyon
dinle elsa,animasyon
güç geliş,animasyon
güzel taraf,animasyon
büyük tehlike,animasyon
güç kontrol et öğren,animasyon
korku düşman ol,animasyon
hayır,animasyon
koru,animasyon
kontrol et öğren emin,animasyon
zaman,animasyon
kapı kapat,animasyon
çalış azalt,animasyon
i̇nsanlarla iletişim kısıtla,animasyon
güç herkes sakla,animasyon
anna,animasyon
elsa,animasyon
kar ada yap,animasyon
hadi git oyna,animasyon
gör,animasyon
kapı çık,animasyon
uzaklaş git,animasyon
eskiden yakın arkadaş,animasyon
değil,animasyon
sebep söyle,animasyon
kar ada yap,animasyon
kar ada ol,animasyon
git anna,animasyon
hoş kal,animasyon
eldiven işe yara,animasyon
gör,animasyon
gizle,animasyon
hisset,animasyon
meydan çıkma iz ver,animasyon
meydan çıkma iz ver,animasyon
kar ada yap,animasyon
koridor bisiklet sür,animasyon
arkadaş ihtiyaç ol,animasyon
duvar resim konuş başla,animasyon
dayan joan,animasyon
bomboş oda insan hisset,animasyon
saat ak geç izle,animasyon
kork,animasyon
gittikçe güçlen,animasyon
üzül durum kötü hal getir,animasyon
sakin,animasyon
hayır,animasyon
dokun,animasyon
zarar ver iste,animasyon
i̇ki hafta görüş,animasyon
git,animasyon
ol elsa,animasyon
elsa,animasyon
yap bil,animasyon
i̇nsanlar sor,animasyon
metin de el gele yap,animasyon
gel içeri gir iz ver,animasyon
birbiri başka kimse,animasyon
kal,animasyon
yap,animasyon
kar ada yap,animasyon
se,animasyon
arendelle gel,animasyon
sağ ol bay,animasyon
adım dikkat et,animasyon
kapı aç,animasyon
giy,animasyon
kraliçe reşit,animasyon
taç giy töre bugün,animasyon
suç,animasyon
iste sven,animasyon
yemek ver,animasyon
sihir kelime ne,animasyon
paylaş,animasyon
kapı aç ol inan,animasyon
gün,animasyon
acele pers,animasyon
arendelle esrarengiz ticaret ortak,animasyon
kapı aç sır orta çıkar,animasyon
zengin sömür,animasyon
sesli söyle,animasyon
dünya göz kraliçe prenses gör sabırsızlan,animasyon
emin hoş,animasyon
emin güzel,animasyon
prenses anna,animasyon
efendim,animasyon
uyan özür dil hanımefendi,animasyon
uyan,animasyon
saat uyan,animasyon
hala hanımefendi,animasyon
kapı aç kal,animasyon
hazır vakit gel,animasyon
hazır,animasyon
abla taç giy töre hanımefendi,animasyon
abla taç giy töre,animasyon
bugün taç giy töre,animasyon
bugün taç giy töre,animasyon
pencere kap aç,animasyon
yap san,animasyon
8000 tane salat tabak bil,animasyon
yıllarca boş koridor gezin,animasyon
balo salon balo merak et,animasyon
kapı aç,animasyon
kan canlı insan dol,animasyon
ilginç ol,animasyon
değişim içim iç sığ,animasyon
ezel beri,animasyon
müzikle çal ye ışıl ışıl ol,animasyon
ezel beri,animasyon
ayakla gece dans et dur,animasyon
gaz gel gaz bil,animasyon
yer,animasyon
ezel beri,animasyon
kal,animasyon
herkes tanış sabırsızlan,animasyon
hayat erkek tanış mı de,animasyon
güzel giyin süsle hayal et,animasyon
duvar karşı büyüle şekil yay kendi,animasyon
sofistike zarafet timsal ol resmen,animasyon
dur gör,animasyon
yakışıklı yabancı alım boy pos,animasyon
ağız çikolata doldur iste,animasyon
gece gül konuş,animasyon
acayip ol,animasyon
ana sürdür hayat ol,animasyon
ezel beri,animasyon
sihir ol eğlence ol,animasyon
ezel beri,animasyon
fark var,animasyon
aşk bul hayal et,animasyon
saçmalık bil,animasyon
ezel beri,animasyon
az şans ol de,animasyon
i̇çeri al,animasyon
i̇zin ver gör,animasyon
i̇yi kız ol zaman,animasyon
gizle,animasyon
hisset,animasyon
sakın renk ver,animasyon
anla hata yap de,animasyon
bugünlük,animasyon
bugünlük,animasyon
bekle ızdırap,animasyon
bekle ızdırap,animasyon
muhafız söyle,animasyon
kapı aç hadi,animasyon
ezel beri,animasyon
i̇çeri al gör,animasyon
hayalle gerçek,animasyon
zaman kız ol,animasyon
dünya değiş fırsat,animasyon
gizle hisset,animasyon
gerçek aşk bul şans,animasyon
gizle hisset öğren iz ver,animasyon
yarın bit bil,animasyon
bugün ol yüz,animasyon
ezel beri,animasyon
ezel beri,animasyon
engelle çekil ön,animasyon
affet,animasyon
şey,animasyon
hayır hayır iyi,animasyon
emin mi,animasyon
evet ön bak,animasyon
harika,animasyon
şükür,animasyon
güney ada prens hans,animasyon
arendelle prenses anna,animasyon
prenses,animasyon
leydi,animasyon
tekrar sela,animasyon
tuhaf,animasyon
tuhaf değil,animasyon
tuhaf,animasyon
mükemmel,animasyon
pardo de,animasyon
arendelle prenses at çarp özür dile iste,animasyon
sonra yaşa,animasyon
hayır hayır sor,animasyon
prenses değil,animasyon
abla elsa çarp oho,animasyon
anla,animasyon
merhaba,animasyon
şükret alt taraf çarp,animasyon
alt taraf,animasyon
çan taç giy töre,animasyon
git,animasyon
git,animasyon
git iyi,animasyon
hoş kal,animasyon
majeste eldiven,animasyon
arendelle kraliçe elsa,animasyon
arendelle kraliçe elsa,animasyon
arendelle kraliçe elsa,animasyon
arendelle prenses anna,animasyon
bura,animasyon
emin mi,animasyon
bence,animasyon
zaman,animasyon
sela,animasyon
sela ver,animasyon
sela,animasyon
güzel görün,animasyon
sağ,animasyon
çırp görün,animasyon
çırp,animasyon
çırp görün çarp görün,animasyon
teşekkür et,animasyon
parti ol demek,animasyon
düşün sıcak orta,animasyon
mükemmel kok,animasyon
çikolata,animasyon
çikolata,animasyon
majeste wesinsiton dük,animasyon
weselton,animasyon
weselton dük,animasyon
majeste,animasyon
yakın ticaret ortak,animasyon
kraliçe dans talip ol,animasyon
münasip ol,animasyon
teşekkür et,animasyon
dans et,animasyon
kız kardeş et,animasyon
şans,animasyon
san,animasyon
kendi geç haber ver tut,animasyon
üzgün,animasyon
kıvrak tavus kuş,animasyon
konu aç kapı açma sevin,animasyon
baştan kapat,animasyon
sebep bil mu,animasyon
hayır,animasyon
hayır demek,animasyon
pekala sıkı tutun,animasyon
küçük derekuşu de,animasyon
maymun surat tavuk uç,animasyon
daha dans hazır ol haber et leydi,animasyon
hareket,animasyon
topuk ayakkabı giy erkek,animasyon
i̇yi mi,animasyon
ol,animasyon
güzel,animasyon
zaman ol,animasyon
olamaz,animasyon
olamaz,animasyon
i̇zninle,animasyon
yakala,animasyon
hans,animasyon
baş salon kay dur,animasyon
pardo,animasyon
fizik yard ol emin,animasyon
ne,animasyon
doğuştan böyle,animasyon
cüce öp hayal et,animasyon
hoş git,animasyon
evet hepsi yut,animasyon
i̇şte,animasyon
saniye,animasyon
kaç erkek kardeş,animasyon
12 tane ağabey,animasyon
tane görün davran,animasyon
ciddi ciddi,animasyon
i̇ki se boyunca,animasyon
korkunç,animasyon
ağabey yap,animasyon
abla,animasyon
elsa yla küçük yakın,animasyon
gün yok dışla,animasyon
sebep asla öğren,animasyon
asla dışla,animasyon
çılgın söyle mi,animasyon
çılgın sev,animasyon
hayat boyunca kapı yüz kapan,animasyon
ansızın rastla,animasyon
aynı düşün,animasyon
hayat boyunca yuva de yer ara dur,animasyon
parti,animasyon
çikolata fondünün etki konuş,animasyon
sen sen,animasyon
yuva bul,animasyon
yüz gör,animasyon
yaşa,animasyon
yaşa,animasyon
aşk açık kap bence,animasyon
aşk açık kap bence,animasyon
aşk açık kap,animasyon
aşk açık kap,animasyon
aşk açık kap,animasyon
aşk açık kap,animasyon
sen,animasyon
sen,animasyon
aşk açık kap,animasyon
çılgın,animasyon
ne,animasyon
bitir birbiri sandviç,animasyon
aynı söyle,animasyon
düşün biri tanış,animasyon
cipskola,animasyon
cipskola,animasyon
cipskolakilit,animasyon
cipskolakilit,animasyon
mental uyum açıkla getir,animasyon
birbiri yarat,animasyon
elveda de elveda de,animasyon
geçmiş acı,animasyon
geçmiş acı,animasyon
acı hisset,animasyon
acı hisset,animasyon
aşk açık kap de,animasyon
