Processed_Sentence,Etiket
pri̇vet yol,fantastik
ol tahmin et profesör mcgonagall,fantastik
i̇yi akşamla profesör dumbledore,fantastik
söylenti albus,fantastik
kork profesör,fantastik
iyi kötü,fantastik
çocuk,fantastik
hagrid getir,fantastik
önem konu hagrid güven,fantastik
profesör hagrid hayat emanet et,fantastik
profesör dumbledore efendim,fantastik
profesör mcgonagall,fantastik
um sor çık hagrid,fantastik
hayır efendim,fantastik
bristol üzerinde uç küçük yaramaz uyu,fantastik
uyan çalış,fantastik
i̇şte al,fantastik
albus insan yan bırak se güven,fantastik
gün izle,fantastik
kötü muggle gör,fantastik
sahip aile,fantastik
ün ol,fantastik
dünya ad öğren çocuk kal,fantastik
kesinlikle,fantastik
bu uzak büyü,fantastik
hazır ol,fantastik
haydi yap hagrid,fantastik
gerçek veda,fantastik
bay bayan dursley privet yol 4 litt whinging,fantastik
i̇yi şans,fantastik
harry potter,fantastik
harry potter felsefe taşi,fantastik
uy,fantastik
kalk haydi,fantastik
hemen,fantastik
uy kuzen,fantastik
hayvanat bahçe git,fantastik
i̇şte doğu gün çocuk gel,fantastik
doğu gü kutlu evlat,fantastik
kahvaltı hazırla yak çalış,fantastik
petunia teyze,fantastik
minik dudley mi özel gün,fantastik
şey mükemmel ol iste,fantastik
acele,fantastik
kahve,fantastik
getir vernon enişte,fantastik
güzel tatlı,fantastik
kaç tane,fantastik
36,fantastik
kendi say,fantastik
36 tane,fantastik
geçen yıl 37 ydi,fantastik
bazı geçen yıl büyük,fantastik
umur,fantastik
bak yap söyle,fantastik
başka hediye al,fantastik
hoş git can,fantastik
hayvanat bahçe harika gün geçir,fantastik
git gözle bekle,fantastik
uyar evlat,fantastik
garip davranış bulun,fantastik
hafta boyunca yemek anlaş,fantastik
haydi,fantastik
sürüngen evi̇,fantastik
hareket et,fantastik
kıpırda,fantastik
kıpırda,fantastik
uy,fantastik
sıkıcı,fantastik
bak,fantastik
yat insan cam yapış çirkin,fantastik
yüz izle kötü anla,fantastik
duy mu,fantastik
yılan konuş,fantastik
demek iste sık sık insan konuş mu,fantastik
burma dan gel,fantastik
ora güzel mi,fantastik
aile özle mu,fantastik
kafes yetiş,fantastik
anla,fantastik
aynı durum,fantastik
aile tanı,fantastik
anne baba,fantastik
bura gel,fantastik
bak yılan ne,fantastik
sağ,fantastik
yılan,fantastik
anne anne yar,fantastik
sevgili yavru,fantastik
gir,fantastik
gir,fantastik
yılan,fantastik
merak et can,fantastik
hemen ıslak giysi çıkar,fantastik
yem et bil,fantastik
cam ora,fantastik
büyü yap,fantastik
büyü yok,fantastik
gülümse,fantastik
bakarmısın vernon,fantastik
göz inan,fantastik
hafta smeltings git,fantastik
smeltonia son davet,fantastik
hayat gurur ver an,fantastik
giy mi,fantastik
smeltings git,fantastik
aptal ol,fantastik
