Processed_Sentence,Etiket
1 sevgi̇ni̇n güç,suç
nasıl leon,suç
i̇yiyim,suç
i̇ş konuş,suç
şişko piç maurizio nun çöplük öt çalış,suç
maurizio sağduyu ada bil,suç
konuş iste,suç
herif ora,suç
dinle,suç
sal şehir in,suç
sal boş mu,suç
evet sal boş,suç
tekrar gör güzel bay jones,suç
unut temiz esas,suç
yarım saat,suç
saat,suç
tonto aşağı ara,suç
siz konuş iste,suç
tip,suç
ciddi,suç
yukarı gel söyle,suç
yukarı gel,suç
yukarı gel,suç
ciddi,suç
mickey göz misafir,suç
misafir,suç
haydi,suç
dur,suç
dur,suç
tonto,suç
şoför söyle arka bekle acele,suç
tatlı ne,suç
tak kafa bebek sor,suç
uyu,suç
tanrı,suç
yavşak herif çıkış kapa,suç
teras bak,suç
hey,suç
911 acil durum,suç
yard ihtiyaç,suç
öldür çalış,suç
pekala kalın,suç
hemen dön,suç
polis memur bağla efendim,suç
dedektif jefferson yardımcı ol,suç
tekrar ara,suç
dost sakin,suç
bolivya nın yarı şura çanta içinde,suç
seyrel,suç
numara çevir,suç
ara tatlı,suç
bay bay,suç
alo,suç
maurizio,suç
hatırla,suç
bak şehir dön,suç
evet,suç
hayır,suç
bugünlük,suç
öyle bugünden sikik şişko surat,suç
şehir gör de,suç
ortak arkadaş telefon al,suç
sen konuş iste,suç
evet,suç
anla emin,suç
bırak git,suç
anla,suç
söyle zaman,suç
anla,suç
i̇yi,suç
tanrı,suç
sela arkadaş,suç
zaman süt,suç
merhaba,suç
sigara sakla,suç
bina ispiyon dolu,suç
baba git iste,suç
yeterince der,suç
bisiklet düş,suç
hey,suç
baba sigara bahset,suç
yap,suç
bil,suç
bugün kimse hafıza,suç
güneş ol,suç
saat kaçta dışarı çık bil lazım,suç
anla,suç
iş,suç
tut,suç
ver şey tut,suç
ol bak,suç
dokun,suç
seyrel bil,suç
söyle anla çalış,suç
haziran ay test 100 saf çık mal bırak,suç
temmuz gel mal geri al 90 saf çık,suç
demek haziran temmuz ara mal 10 seyrel,suç
ora ilgilen,suç
tut,suç
mal getir,suç
tut başka iş anla,suç
bak yardımcı ol çalış,suç
ters git rahat et gerek,suç
bil müzik dinle rahat et nefret et,suç
doğru söyle,suç
um öyle yalan koku şıp al,suç
kork,suç
altıncı hissi,suç
nağme değiş mi,suç
o böl,suç
