Processed_Sentence,Etiket
ne lan,suç
jimmy,suç
şe çarp,suç
lan,suç
lastik patla,suç
lastik patla,suç
hayır,suç
lan,suç
kenar çek gör,suç
hala yaşa,suç
pislik herif,suç
geber orospu çocuk,suç
bak,suç
geber lan,suç
kendi bil an gangster iste,suç
nicholas pileggi nin wiseguy ad kitap uyarla,suç
gangster birleşik devlet başkan ol iyi,suç
doğu new york brooklyn,suç
1955,suç
okul sonra iş taksi durak ad at,suç
iste bil,suç
ol hisset ye ora,suç
önem insan dolu muhit önem anlam gel,suç
başka benze,suç
iste yap,suç
yangın hidrantının ön arka arka park et o ceza kes,suç
yaz gece boyunca kumar oyna poli ara,suç
tony stacks,suç
nasıl,suç
tuddy cicero,suç
canarsie çocuk,suç
nasıl,suç
i̇yidir,suç
tuddy,suç
tuddy bella vista pizzeria daki taksi durak,suç
yer muhit patron kardeş paul adına işle,suç
merhaba paulie,suç
sela paulie,suç
paulie yavaş hareket ol,suç
neden kıl kıpırda zor ol,suç
başla sen,suç
başla,suç
hata,suç
i̇lk başta aile ev hemen karşı bul sevin,suç
ev oyna henry,suç
i̇rlanda asıl baba 11 yaş çalış gönder,suç
i̇ş bul hoş git,suç
zaman amerika çocuk şımar tembel söyle,suç
hoş kal baba,suç
hoş kal,suç
görüş mikey,suç
gül gül henry,suç
henry,suç
karşı geç dikkat,suç
gel süt getir,suç
anne cicero ların sicilya nın o aynı bölge,suç
öğren mutlu ol,suç
anne,suç
dua kabul ol,suç
dünya şans çocuk bent,suç
i̇stediğim yer git iste yap,suç
herkes tanı tanı,suç
kabadayı araba bırak tuddy park et,suç
cadillac ların anahtar fırla,suç
i̇şte küçük çocuk direksiyon ön gör,suç
cadillac ları park et,suç
aile,suç
taksi durak iş hakkında fikir değiş uzun sür,suç
anne kız kardeş,suç
muhakkak ver,suç
taksi durak yarı mesail gerek,suç
kesinlikle mesail iş,suç
iste buy,suç
baba insan asla anla önem yap,suç
ait,suç
yetişkin biri davran,suç
söyle 519,suç
kötü rakam,suç
gün hesap yap öğren,suç
dol dol,suç
rüya alem yaşa,suç
bugün okul geç,suç
evet,suç
baba öfke ol,suç
par kazan öfke,suç
kardeş michael tekerlek sandalye mahkum öfke,suç
daracık ev yedi yaşa öfke,suç
söyle bak,suç
okul mektup gel,suç
ayla okul uğra yaz,suç
ayla,suç
serseri,suç
büyü serseri iste,suç
sür öfke taksi durak takıl,suç
taksi durak ne bit bil,suç
dayak ye gerek,suç
zamanla umur değil,suç
kal,suç
ara sır dayak ye,suç
teslimat yap,suç
demek teslimat yap,suç
mahvet,suç
baba öldür söyle,suç
bak,suç
gel ben,suç
evlat,suç
hayır,suç
hayır,suç
i̇şte ada,suç
getir,suç
affet,suç
evet,suç
şeref,suç
gel bura aşağı herif,suç
çocuk tanı mu,suç
evet,suç
otur bil mu,suç
evet,suç
ev posta götür,suç
evet,suç
okul ev gönder mektup doğrudan bura gelecek,suç
anla,suç
evet,suç
çocuk ev okul mektup gel,suç
fır boyla kafa boyla,suç
i̇şte,suç
okul kaçak görev mektup,suç
i̇şin asıl kimse mektup gel,suç
hafta anne şikayet postane git,suç
okul giderek,suç
ant oku yönet saçmalık dinle,suç
paulie telefon nefret et,suç
ev telefon yok,suç
mickey ara,suç
geri ara mi,suç
pekala ara,suç
ara ikinci elden al,suç
yüz ara kişi ankesör telefon,suç
geri ara zor,suç
sent,suç
evet,suç
ara bak,suç
gün paulie nin telefon görüşme ayarla kişi,suç
gün boy hareket biri paulie kişi konuş,suç
grup soru ol hesap şikayet ol,suç
tep adam paulie görüş soru tartış,suç
tek tek,suç
paulie toplantı nefret et,suç
biri söyle duy iste,suç
söylen başka duy iste,suç
paulie bağ yüzlerce ada pay al,suç
eski ülke haraç şe amerika yap,suç
paulie nin o sağla yol iste kişi karşı güvenç,suç
mesel buy,suç
fbi asla anla buy,suç
paulie örgüt,suç
polis dert anlat kişi kor sağla,suç
buy,suç
kabadayı polis teşkilat şe,suç
i̇nsanlar fark bak önem çalış bil,suç
pazar sabahları taze ekmek al fır sır bekle zor değil,suç
sahip kim çalış bil,suç
hemen tezgah gel,suç
bekle kişi,suç
ben ilgile,suç
komşu araba ol,suç
garaj yol ön araba park et,suç
13 yaş gel,suç
mahalle yetişkin ada fazla par kazan,suç
harca para,suç
şe sahip,suç
gün,suç
gün mahalle çocuk anne pazar çanta ev taşı,suç
bil mu,suç
saygı,suç
sela anne,suç
düşün,suç
ayakkabı bak harika değille,suç
tanrı,suç
gangster benze,suç
vur,suç
yar et,suç
henry kapı kapat,suç
i̇lk vurul biri gör,suç
bura al,suç
tanrı,suç
dükkan al,suç
ada üzül hatırla,suç
tuddy nin hak düşün hatırla,suç
paulie nin ada bina içinde öl iste bil,suç
harbi salak,suç
ada tane önlük harca,suç
der,suç
çocuk sert,suç
muhteşem zamanla,suç
kabadayı mekan cirit at,suç
apalachin toplantı ndan çılgın joe nun,suç
patron karşı gel savaş başla önce,suç
dünya zaman tanış,suç
jimmy conway zaman tanış,suç
zamanla 28 29 yaş fazla ol,suç
çok efsane ol,suç
kapı adım at an çalış koşuş başla,suç
kapı aç kap 100 dol ver,suç
krupiye oy yönet kişi yüzlerce dol ver,suç
barmen içki soğuk tut 100 do kap,suç
i̇rlandalı i̇talyan serseri para topla gel,suç
i̇çecek mi,suç
viski gazoz getir,suç
henry tanış iste,suç
naber,suç
teşekkür et,suç
bit getir,suç
jimmy şehir kork kişi biri,suç
i̇lk içeri gir 11 yaş,suç
16 sın gel mafya patron ada öldür,suç
anla öldür jimmy rahat et,suç
iş,suç
jimmy nin yap sev,suç
sev çal,suç
ciddi ciddi zevk al,suç
jimmy film kötü adam kalıplaş tür biri,suç
cüzdan ver,suç
tanı tanı,suç
anla,suç
şehir büyük gasp biri,suç
i̇çki sigar jilet karides ıstakoz,suç
karides ıstakoz iyi,suç
git,suç
çocuk oyuncak,suç
ver sıkıntı çıkar,suç
centilmen jimmy de,suç
hanımefendi yar,suç
şoför sev,suç
yük sağlam zaman,suç
haber uçur,suç
pay al,suç
sağ geri kala gel,suç
görüş,suç
henry bura gel,suç
tommy merhaba,suç
naber henry,suç
beraber çalış,suç
yar hadi,suç
jimmy,suç
polis teşkilat durdur görevlen,suç
git,suç
ortak,suç
şikayet et dinle jimmy,suç
pall mall,suç
pall mall,suç
lazım,suç
i̇ki lucky lazım,suç
i̇ki lucky,suç
henry,suç
teşekkür,suç
iste,suç
pall mall,suç
pall mall buyur,suç
san,suç
sor,suç
anne iz al,suç
kaç karton iste,suç
sigara al,suç
götür,suç
sor,suç
götür hadi,suç
al,suç
anla,suç
anla,suç
dükkan kapan,suç
henry yakala,suç
fabrika sigar sat,suç
henry hill,suç
new york eyalet henry hill dava,suç
dav numara 704162,suç
evet efendim,suç
şura geç,suç
bekle,suç
devam et avukat bey,suç
tebrik,suç
i̇şte mezuniyet hediye,suç
yakala,suç
yakala ol yap,suç
o söyle öğren,suç
kız san,suç
kız gurur duy,suç
i̇lk darbe erkek karşıla hayat önem öğren,suç
bak,suç
asla arkadaş ispiyonla,suç
zaman çene kapalı tut,suç
i̇şte gel,suç
i̇şte gel,suç
kız boz,suç
tebrik,suç
idlewild havaalanı,suç
yetişkin ada ol idlewild havaalanı nın yıllık kargo,suç
30 do bula,suç
inan parça çal çalış,suç
anla gerek havaalanı yanında büyü,suç
ora paulie ait,suç
ora kademe çalış dost akraba,suç
ne gir çık haber ver,suç
kamyon şoför havayolu şirket sor çıkar,suç
paulie sendika grev korkut sağla,suç
mükemmel,suç
altın yumurtla tavuk gibi jimmy yönet,suç
zaman para ihtiyaç havaalanı soy,suç
citibank tan iyi,suç
telefon,suç
