Processed_Sentence,Etiket
biri bakip söyle düsündügünüz,animasyon
kafasinda ne dön,animasyon
bil,animasyon
riley nin kafasinda dön bil,animasyon
iste,animasyon
merhaba,animasyon
riley,animasyon
güzellige bak,animasyon
ev nes getir bakayim,animasyon
mükemmel,animasyon
riley yle,animasyon
sonsuz,animasyon
33 saniye,animasyon
adi üzüntü,animasyon
merhaba,animasyon
nes,animasyon
söyle kenar,animasyon
iste sunu düzelt,animasyon
sag,animasyon
baslangiçti,animasyon
dakika kuma merkezi kalabaliklasti,animasyon
güzel,animasyon
git gibi,animasyon
güzel,animasyon
aman,animasyon
aman,animasyon
olamaz,animasyon
dikkat,animasyon
korku,animasyon
riley güve tut konu basari,animasyon
yavas yavas,animasyon
geri çekil,animasyon
sey olmadi,animasyon
tesekkürlerimi sun,animasyon
tebrik,animasyon
sim sira tekrar biz,animasyon
hadi bakalim agzini,animasyon
yeni durum,animasyon
güven de,animasyon
ne,animasyon
dikkatli ol,animasyon
tehlike kok aliyorum millet,animasyon
dur bakalim,animasyon
tiksinti,animasyon
riley bedenen sosyal yön zehirle alikoyuyor,animasyon
canli renk,animasyon
dinazor kesilmemis,animasyon
saniye,animasyon
brokoli,animasyon
hayatlarimizi kurtardim sim,animasyon
rica et teveccüh,animasyon
riley yemegini bitir tatli ye,animasyon
tatli yiyemeyecegimizi söyle,animasyon
öfke,animasyon
seyin adil olmasi konu fazla takintili,animasyon
demek olayi nokta getir iste ihtiyar,animasyon
tatli demek,animasyon
hemen yemegimizi yiyecegiz,animasyon
ye,animasyon
riley riley,animasyon
uçak gel,animasyon
uçak,animasyon
uçak gel millet,animasyon
üzüntü yle tanismistiniz,animasyon
yaptigini bil,animasyon
kontrol et git bask yer,animasyon
iyi sey harika,animasyon
riley nin hatiralari,animasyon
övün olmasin fark et çogu mutlu anilar,animasyon
asil mühim ol,animasyon
teknigine gir iste bu,animasyon
çekirdek hatiralar dene,animasyon
riley nin hayatindaki asir önem zamanlari temsil,animasyon
mesela gol attigi zaman,animasyon
inanilmazdi,animasyon
sun baki,animasyon
güzel,animasyon
iste,animasyon
çekirdek hatira,animasyon
riley nin kisiligindeki farkli yön güçlen,animasyon
mesela hokey adasi,animasyon
favori saklabanlik adasi,animasyon
gel bakayim bura maymun,animasyon
evet saklabanlik üstüne,animasyon
arkadaslik adasi,animasyon
dürüst adasi bayiliyorum,animasyon
dürüst de,animasyon
aile adasi muhtesem,animasyon
kisacasi riley riley yap sey kisilik adalari,animasyon
dikkat balik gel,animasyon
lav,animasyon
arkadasin oy,animasyon
bing bong,animasyon
bing bong,animasyon
güzel,animasyon
bey donmasi,animasyon
iste,animasyon
gecele yavru,animasyon
gecele baba,animasyon
paydos,animasyon
iste bu,animasyon
mükemmel gün,animasyon
herkes kutlarim,animasyon
anilari uzun sür hatiralara gönder hadi,animasyon
bugün öl,animasyon
nitelik basari de,animasyon
durum iste,animasyon
kizimizi sev,animasyon
harika arkadaslari harika ev,animasyon
iyi olamazdi,animasyon
riley 11 yasinda artik,animasyon
ol,animasyon
satildi,animasyon
düsünmemistim,animasyon
alti kapi köprü bak güzel,animasyon
sandigimiz som altindan yapilmamis olmasi,animasyon
hayal kirikligina ugratsa,animasyon
deprem söylenti ibaret oldugunu söyle nes,animasyon
korku öl ol,animasyon
evet,animasyon
insan kalem,animasyon
blok kaldi,animasyon
yeni ev gel sayilir,animasyon
bas gaz babacik,animasyon
les kok arabamizda yasayalim olmadi,animasyon
nasilsa dogdumuzdan iç,animasyon
sansliyiz,animasyon
saye yeni ev nasil oldugunu düsünecek bolca zamani,animasyon
5 hayal tekrar göz geçir,animasyon
güven görün,animasyon
hosmus,animasyon
riley harika,animasyon
asil,animasyon
nes son söyle kurabiye içinde yasa,animasyon
iste bu,animasyon
ejderha cabasi,animasyon
yaklastik,animasyon
hisset,animasyon
iste gel,animasyon
yeni ev karsimizda,animasyon
ev iç güzel,animasyon
oturacagiz,animasyon
mecbur mu,animasyon
söyle bak sey ölmüs kok,animasyon
tasinmaktan ötürü ölün,animasyon
arkadaslar abartiyorsunuz,animasyon
kimse öldügü,animasyon
ölü fare,animasyon
aman güzel,animasyon
kusacagim,animasyon
ölü ev yapacagiz,animasyon
kuduz olacagiz,animasyon
çekil tepe,animasyon
