Processed_Sentence,Etiket
pencere tut,tarih
i̇şte,tarih
vagon üstüne,tarih
i̇şte güzel,tarih
cam cam,tarih
haydi haydi,tarih
i̇şte,tarih
evet,tarih
gerçekten insaf oskar,tarih
o umut ver,tarih
yap gerek,tarih
i̇nsafsızlık,tarih
mümkün ol uzak dikkat et,tarih
fabrika 200 metre hortum,tarih
almanya daki ev 20 metre hortum ben,tarih
son vagon ulaş,tarih
hujar,tarih
evet,tarih
vagon üst unut,tarih
vagon üst,tarih
taraf,tarih
teğmen tren dur,tarih
kapı aç vagon iç sula,tarih
vagon vagon,tarih
pişman ol de ihtimal,tarih
bil gerek,tarih
risk göze al,tarih
ol,tarih
güzel gün çık gezinti bak,tarih
bura,tarih
irk göç yasa çiğne,tarih
yap kendi çık sağla anla değil,tarih
yahudi kız öp,tarih
alet kop düş,tarih
kadın hoşlan,tarih
güzel kadın hoşlan,tarih
güzel kadın gör beyin dur,tarih
el kadın,tarih
kadın sev,tarih
evet bayıl,tarih
evli ol,tarih
kız yahudi,tarih
yap gerek,tarih
kız gör,tarih
gör,tarih
kız,tarih
şahane parça,tarih
yahudi ada büyüle,tarih
i̇nsan yakın temas ol farket,tarih
güç virüs gibi,tarih
adam virüs kap durum,tarih
cezalandır acı tedavi et gerek,tarih
tifo salgı göz ön gör,tarih
sor par,tarih
rüşvet teklif et,tarih
rüşvet,tarih
hayır hayır,tarih
minnettar ifade kabul et,tarih
yaşasın hit,tarih
merhaba,tarih
otur,tarih
gündelik mark tan yahudi kız ver oskar,tarih
öp,tarih
tanrı koru tat al alış hal,tarih
iş son,tarih
insan gel,tarih
söz yahudi düşman ak düşün,tarih
politika,tarih
evet güzel,tarih
güzel,tarih
chujowa gorka ormani ni̇san 1944,tarih
bölü goeth plaszow krakow getto nda katlet,tarih
bin fazla yahudi nin toplu mezar çıkar,tarih
yak kül et emret,tarih
haydi,tarih
ol,tarih
kaldır kıç,tarih
hızlı yap,tarih
ol uyu,tarih
parça,tarih
küçük parça vakit kaybet,tarih
san,tarih
el yap,tarih
hey,tarih
hal parça,tarih
küçük parça boşver,tarih
ol bitir pislik,tarih
i̇şte ölüm,tarih
ölüm geç,tarih
inan mu,tarih
el yeterince yok iş yükle,tarih
gömülü paçavra çıkar yak gerek,tarih
parti bit oskar,tarih
bölü faaliyet son ver hep auschwitz gönder,tarih
zaman,tarih
bil,tarih
sevkiyat program düzenle düzenle herhalde,tarih
30 40 gün,tarih
eğlence ol benze,tarih
goeth konuş,tarih
var bil,tarih
el tahliye emir,tarih
sevkiyat düzenle yar et kendi son tren koy görev,tarih
söyle değil,tarih
goeth hakkında referans verecek söz ver,tarih
baş kötü gel,tarih
özel muamele gör,tarih
berlin de gelen talimat özel muamele sık rast,tarih
um kastet fark,tarih
ayrıcalık muamele,tarih
yeni lisa türe yap,tarih
i̇yi,tarih
anla kadar kal,tarih
krakow,tarih
kal,tarih
yürüt gerek iş,tarih
durum yeni işçi ayarla gerek tahminen polonya,tarih
maliyet yüksek,tarih
yap,tarih
i̇şimi yürüt sen,tarih
bura ev dön,tarih
bura geliş amaç ulaş,tarih
hayat boy yet para,tarih
gün bit,tarih
bit otur beraber iç de,tarih
iç ol galiba,tarih
anla,tarih
insan iste mu,tarih
insan,tarih
adam adam iste,tarih
kim musa,tarih
yap demek,tarih
kazanç iş nere dalavere nere,tarih
i̇yi alışveriş,tarih
i̇yi alışveriş,tarih
bak,tarih
malzeme makina çekoslavakya taşı gerek,tarih
para yeni kamp yap,tarih
de mantık taraf,tarih
bak amon,tarih
açı sor,tarih
gizle,tarih
tanı çalış bil eğit gerek,tarih
gizle,tarih
sor bedel al,tarih
bak,tarih
ordu ol,tarih
üret kar ver bil mu,tarih
top mermi,tarih
top mermi üret,tarih
tank mermi ihtiyaç,tarih
tank mermi,tarih
iste ol,tarih
hariç,tarih
şekil dümen getir,tarih
kazan mutlaka üçyüz kazan,tarih
üçyüz kazan de rakam dörtyüzdür,tarih
söyle,tarih
söyle söyle,tarih
pekala,tarih
anlat bak,tarih
dayan çalış olay kavra sinir boz,tarih
bak,tarih
yap gerek değer biç,tarih
kitap insa fiyat,tarih
hayır,tarih
asıl kitap insa fiyat,tarih
poldek pfefferberg mila pfefferberg,tarih
stagel stagel,tarih
paul,tarih
paul,tarih
paul stagel,tarih
doktor,tarih
yatırım unut hepsi iste,tarih
efendim,tarih
fischer i̇shmael fischer,tarih
fischer i̇shmael,tarih
kaç,tarih
400 450 civar,tarih
yaz,tarih
i̇yi sabahla,tarih
feigenbaum jakob,tarih
wolf wolf wein,tarih
feigenbaum lutek jakob nacha,tarih
necha,tarih
necha evet,tarih
wolf,tarih
kaç,tarih
600,tarih
yap yap,tarih
karl çık,tarih
bil,tarih
yap julius o fazladan ver yiyecek giyecek haber,tarih
cep öde,tarih
olay müştereken at,tarih
benimki kişi ulaş,tarih
oskar,tarih
güven yer,tarih
örneğin moravya yerleş,tarih
bil,tarih
gece kaç sigar iç,tarih
hayli,tarih
sigara yarı iç,tarih
yap yap,tarih
yeterli gör,tarih
oskar fazla yap,tarih
kabul et,tarih
kaç,tarih
kaç,tarih
aşağı yukarı 850,tarih
üç beş stern üç beş,tarih
say,tarih
kaç,tarih
sayfa tamamla,tarih
goeth de,tarih
kaç kişi ihtiyaç söyle kabul,tarih
liste adam sat al,tarih
al,tarih
liste is par ödüyorsunüz,tarih
hala yan çalış ol iş vazgeçir bekle,tarih
servet mal,tarih
sayfa tamamla alt isim ye bırak,tarih
list kelime,tarih
list hayat,tarih
yazılı ala dış kenar boşluk ölüm kol gez,tarih
oskar sayfa yaz kaynaklan hata,tarih
