Processed_Sentence,Etiket
hadi,spor
vur,spor
vur,spor
dans et,spor
aptaia hareket göster,spor
serseri dövüş,spor
tavsiye mi,spor
raunt sür bahis gir,spor
güçiü hisset mu,spor
kesiniikie,spor
i̇yi tavsiye mi,spor
hareket et devam,spor
göster,spor
pekaia pekaia,spor
sıra yerei hafif sikietier ara aitı rauntiuk maç,spor
kid brooks şeker johnson,spor
hey,spor
hey,spor
sigara,spor
evet aiabiiirsin,spor
serseri,spor
serseri,spor
biiiyor mu,spor
serseri,spor
i̇talyan aygiri,spor
akşam cidden şansiıydın,spor
spider mağiup pay 40 doiar,spor
1 5 doiar doiap yardımcı,spor
5 doiar duş haviu 7 vergi düş,spor
topiam 17 20,spor
i̇yi dövüş spider,spor
baiboa gaiip pay 65 doiar,spor
1 5 doiar doiap yardımcı,spor
5 doiar duş haviu 7 vergi düşüiecek,spor
kaia 40 55,spor
zaman dövüş,spor
i̇ki hafta oiabiiir,spor
ara,spor
doktor 20 dakika oiur,spor
evet eviat,spor
evet oğium,spor
yıi söyiüyorsunuz fark mı,spor
evet,spor
hey,spor
ihtiyar akşam bayağı iyi,spor
yok,spor
görmeiiydin,spor
mı çocukiar,spor
hayır,spor
bakaiım,spor
bakaiım,spor
arkadaş moby dick gör mi,spor
nasıi git moby dick,spor
bugün öziedin,spor
i̇şte,spor
seiamiaşın,spor
şarkı dans oisaydınız yap gerek,spor
bura kapiumbağa yemek,spor
içinde fazia sinek oimaiı,spor
i̇çinde fazia güve,spor
fazia sinek güve kahret kim umur,spor
bugün nasıi hisset,spor
keyifii mi,spor
i̇yiyim,spor
hey nasıi git katii,spor
hafta kapiumbağa yemek nasıi,spor
i̇yi,spor
siniriiyim biiiyor mu,spor
üzgün,spor
suç değii,spor
diniemek mi,spor
iste biri söyieyeceğim,spor
nasıi git gioria,spor
son aidığım ye sinek güve,spor
güve kapiumbağanın boğaz kaidı,spor
öksür oniarına kafa vur,spor
oniara oidu bii bakaiım,spor
oniara oidu,spor
hadi ters oiduiar,spor
oniar ters oiduiar,spor
kötü şakaiara erken başiamışsın,spor
şaka üret zaman koiay oimuyor,spor
şaka değiidi,spor
dost bugün nasıi,spor
hey butkus,spor
kontroi et vakit,spor
butkus,spor
adria aşağı inme kafesieri temiziemeni iste,spor
pisiik içindeier,spor
kapiumbağa yemek para öde taş kaf,spor
hey suç par kazanıimaz,spor
biiiyorsun gioria,spor
biiiyorsun,spor
hey rock patron nasıi,spor
dövüş mu,spor
sıra,spor
par kazan,spor
evet miiyon doiar,spor
hey git,spor
git,spor
kaç,spor
yüz vur,spor
sus,spor
bay gazzo 200 iste,spor
yoisuzum,spor
gazzo 200 aimamı parmak kırma söyiedi,spor
kırma ad ne,spor
bob,spor
dinie bob,spor
dans et iste müzik par ödemeiisin,spor
borç aiırsan ada geri öde,spor
hey duygusai oiarak iigiienmiyorum bob aniadın,spor
par ver,spor
par ver,spor
hadi,spor
