Processed_Sentence,Etiket
lydia,romantik
kitty,romantik
sevgili bay bennet duy,romantik
netherfield konak kira ver,romantik
kim kirala bil iste mu,romantik
görünüş söyle can at sevgili,romantik
dinle başka seçenek,romantik
lydia siz başka gizli dinle konu de,romantik
boş ver,romantik
bay bingley kuzey bura taşın,romantik
yıl alt fazla gelir var,romantik
bekar,romantik
bekar,romantik
görünüş bay bingley,romantik
kız ilgi,romantik
bay bennet can sık,romantik
kız biri evlen söyle,romantik
bura gel amaç mu,romantik
git ziyaret et,romantik
aman tanrı,romantik
kalabalık,romantik
baş ol ziyaret git,romantik
bil bay bennet,romantik
dinle mu,romantik
dinle,romantik
ziyaret git,romantik
çok ziyaret et,romantik
i̇nanmam,romantik
zaman,romantik
bay bennet üz,romantik
zavallı sinir acı,romantik
yanlış anla biricik aşk,romantik
o sonsuz saygı duy,romantik
yıldır baş eksik et,romantik
baba,romantik
cana yakın mi,romantik
yakışıklı,romantik
emin yakışıklı,romantik
yıl altın kazan yan siğil kap fark et,romantik
kim yan siğil kap,romantik
kız hangi beğen o evlen yürekten destek ver,romantik
yarın balo gelecek mi baba,romantik
bil kadar gelecek,romantik
tanrı razı sevgili,romantik
muslin ver mi jane,romantik
karşılık yeşil terlik ödünç ver,romantik
zaman hafta dikiş iş yap,romantik
başlık süsle,romantik
i̇ki hafta,romantik
i̇ki hafta boyunca dikiş iş yap,romantik
gece salon erkek tüm aşık ol ol,romantik
güzel anla de,romantik
erkek,romantik
can anla kolay,romantik
kötü can,romantik
sınır tecrübe sıkıcı boş,romantik
gün gelecek lizzie vurul biri,romantik
zaman ağız çık dikkat etmen gerek,romantik
gel büyük incelik,romantik
tavus kuş kılık bay bingley,romantik
sağ,romantik
sol kız kardeş,romantik
sıkkın ifade ada,romantik
bay bingley nin yakın arkadaş bay darcy,romantik
yüz ifade bak sefil zannet,romantik
yüz bak sefil görün fakir kesin,romantik
yıl altın kazan derbyshire semt yarı,romantik
sefil yarı herhalde,romantik
bay bennet kız bay bingley takdim et,romantik
bay bingley gülümse,romantik
mary,romantik
bay bingley büyük kız tanı,romantik
bayan bennet kız jane bennet elizabeth mary bennet,romantik
büyük şeref,romantik
i̇ki kız dans et,romantik
siz tanış büyük mutlu duy,romantik
derbyshire daki pemberley konak ndan bay darcy tanış iste,romantik
bura beğen bay bingley,romantik
evet bayıl,romantik
duy netherfield daki kütüphane ülke güzel kütüphane biri,romantik
evet yüz suçlu duy,romantik
fazla oku değil,romantik
açık hava ol sev,romantik
demek iste oku bil,romantik
açık hava oku demek iste,romantik
oku,romantik
var gel,romantik
evet söyle çalış,romantik
anne,romantik
anlat kesinlikle inan,romantik
söyle öyle,romantik
çatla,romantik
şehir alay gel,romantik
subay,romantik
kış geçir bura karargah kur,romantik
subay,romantik
yüzlerce,romantik
bak jane bay bingley dans,romantik
dans et mi bay darcy,romantik
zor kal,romantik
merak et yan gel,romantik
sor,romantik
grosvenor daki parti yan yaklaş bay darcy,romantik
hayat boyunca güzel kız gör,romantik
oda güzel kız dans et,romantik
ömür boyunca gör ol güzel yaratık,romantik
kız kardeş elizabeth güzel,romantik
yüz bak kız,romantik
dans et heveslen güzel,romantik
ben oyala iyi git,romantik
eşin güzel gülümse tat çık,romantik
ver sadaka var lizzie,romantik
beğen ol o konuş zor kal,romantik
kesinlikle hak,romantik
derbyshire sefil yarı bırak,romantik
tüm ver dans et o,romantik
eğlen bayan lucas,romantik
güzel dans et bay bingley,romantik
jane muhteşem dans,romantik
arkadaş bayan lucas sohbet insan,romantik
evet hep sev,romantik
yüz güzel ol kötü,romantik
anne,romantik
lizzie güzel olmadık türlü kabul et iste,romantik
kasaba güzel kız jane kıyasla,romantik
yaş bey sırılsıklam aşık ol,romantik
evlen teklif et emin,romantik
güzel şiir yaz,romantik
aşk son,romantik
şiir aşk öldür keşfet kişi ol,romantik
şiir aşk besle san,romantik
saf güçlü aşk öyle,romantik
durum basit gönül kay ibaret,romantik
mısra yeter can al,romantik
öner sevgi güçlen,romantik
dans et,romantik
kişi eş yüz bak kız tasvir et,romantik
bay bingley genç beyefendi gerek,romantik
akıl kalp yakışıklı zengin caba,romantik
bil,romantik
evlen ada para pul önem ver,romantik
evlen delicesine aşık ol bekle,romantik
san yüz ev kal,romantik
se beğen lizzie,romantik
jane gece büyük bölüm sen dans,romantik
geri kalan seyret geçir,romantik
sev iz ver,romantik
aptal beğen ol geçmiş,romantik
insan hepsi sev yönelik aşırı eğil var,romantik
göz hoş,romantik
arkadaş,romantik
hala hakkında söyle inan,romantik
bay darcy,romantik
gurur tavır mazur gör gurur yarala ol,romantik
önem görüş değil,romantik
üçüncü bayan lucas dans,romantik
sevgili hep ora gör,romantik
güzel kız ol üzül,romantik
kader kız kuru ol yap,romantik
dördüncü bayan önem şahsiyet değil,romantik
beşinci jane dans,romantik
acı dans ayak burk,romantik
duy bay bennet,romantik
arka müthiş servet bırak zannet,romantik
öl bay bennet yakın zaman ol,romantik
yavrucak baş üzerinde çat cep kuruş ol,romantik
orta kalakal,romantik
aman anne saat sabah,romantik
mektup netherfield konak ndan siz gönder bayan bennet,romantik
tanrı şükür,romantik
kurtul,romantik
jane,romantik
mutlu gün,romantik
carolin bingley de gel,romantik
kendi akşam yemek davet et,romantik
erkek kardeş dışarı ol,romantik
dışarı,romantik
fayton al mi,romantik
ver bak,romantik
yürü git uzak anne,romantik
gerçekten dışarı ol inan,romantik
anne jane fayton sor,romantik
katiyen,romantik
sırt git,romantik
sırt,romantik
tahmin et gece geçir zor kal,romantik
şaş el,romantik
çöpçatanlık yetenek adeta doğaüstü,romantik
yağ yağmur kendi pay çıkar herhalde anne,romantik
bura dost kendi hisset,romantik
ev dönme laf et,romantik
endişelen,romantik
boğaz ağrı ateş baş ağrı dış,romantik
önem sorun,romantik
saçma,romantik
jane öl az bay bingley uğur can ver avun,romantik
i̇nsanlar soğuk algın ölmez,romantik
anne sahip ol utanç öl,romantik
ziyaret git bak nasıl,romantik
görünüş leydi bourg balo salon fransız moda uygun dekore et,romantik
vatansever davranış,romantik
bayan elizabeth bennet gel,romantik
aman tanrı bayan elizabeth bura yürü gel,romantik
evet,romantik
özür dil kardeş,romantik
üst kat,romantik
teşekkür,romantik
yüce tanrı kıyafet hal gör,romantik
karış çamur bat,romantik
ortaçağ kal görün,romantik
yük ol davran,romantik
tak kafa,romantik
ol anne bay bingley,romantik
sevin bil,romantik
abla bakım özen göster teşekkür et,romantik
ev ol durum,romantik
keyif,romantik
demek iste,romantik
keyif hasta,romantik
keyif,romantik
hasta,romantik
meşhur ol domuz ol,romantik
sırt siyah benze norwich eğit domuz yan yaklaş,romantik
do bay bennet,romantik
plan uygun git,romantik
şimdiden aşık say,romantik
sevdiceğim,romantik
bay bingley,romantik
metelik ol umursa iki yet zengin,romantik
o tanış,romantik
basit,romantik
bekle,romantik
yer düşür,romantik
yer al,romantik
tanış ol,romantik
subay,romantik
sır dış hız yaz bay darcy,romantik
yanıl yavaş yaz,romantik
mektup yazma gerek bilir kaç durum karşı ol bay darcy,romantik
