Processed_Sentence,Etiket
ev git,gerilim
kendi bak başla,gerilim
berbat,gerilim
bale kurs git,gerilim
müteşekkir,gerilim
o ver çeyrek,gerilim
evet,gerilim
ol,gerilim
gör,gerilim
gerçekten eğlence biri,gerilim
ben didiş,gerilim
ipucu ver tahmin et sağla gerek,gerilim
bak,gerilim
berbat,gerilim
kimse zarar dokun,gerilim
tanrı,gerilim
zaman yaş adam biri gör,gerilim
aynı düşün,gerilim
düşün,gerilim
zamanla,gerilim
biri bebek düşün,gerilim
gerçekten düşün,gerilim
zamanla biri bebek,gerilim
sev anne baba sahip,gerilim
bank,gerilim
yarı ölü şekil yat,gerilim
anne baba,gerilim
amca,gerilim
düşün,gerilim
yukarı işle git,gerilim
gazete grev gir,gerilim
40 dan durum,gerilim
i̇kinci adam durum,gerilim
kim gel bak,gerilim
hadi bak bebek ısla dudak,gerilim
dil gör,gerilim
çıkar dil,gerilim
hadi,gerilim
güzel ıslak fransız öpücük de,gerilim
hadi,gerilim
güzel ıslak tane,gerilim
kayıt ilgilen,gerilim
kadı se açık net gel,gerilim
bak mark,gerilim
gör mu,gerilim
charles işit cihaz kullan ada,gerilim
hemen şura alışveriş çanta,gerilim
paul iş bit,gerilim
fark et,gerilim
kulak ver,gerilim
köşe bucak takip et,gerilim
merak et,gerilim
beraber zaman geçir,gerilim
hayır,gerilim
birazcık kal,gerilim
ayva ye harry,gerilim
kadın bak,gerilim
bil,gerilim
duy,gerilim
duy,gerilim
düşün,gerilim
güzel yakala 25 seviye,gerilim
paul ihtiyaç duy,gerilim
gün içinde ara,gerilim
paul yarın toplantı git mu,gerilim
emin ol,gerilim
harry,gerilim
evet,gerilim
2 yıl yap küçük parti,gerilim
stan,gerilim
görüş harry,gerilim
polis fazlasıyla,gerilim
git,gerilim
sür kal,gerilim
iki ilgilen,gerilim
emin değil,gerilim
adalet bakanlık,gerilim
hayır,gerilim
muhtemelen hazin bakanlık ol,gerilim
kaset uyku getir,gerilim
zaman oyala,gerilim
ne hakkında konuş duy,gerilim
hakkında konuş umur,gerilim
iste güzel dolgun kayıt,gerilim
merhaba bay caul,gerilim
doğu gün kutlu,gerilim
mutlu yılla harry,gerilim
mutlu yılla,gerilim
alo,gerilim
alo bayan evangelista,gerilim
evet,gerilim
üst kat harry caul,gerilim
evet,gerilim
teşekkür et,gerilim
teşekkür et,gerilim
evet gerçekten iyi,gerilim
evet,gerilim
evet,gerilim
bil,gerilim
evet bul,gerilim
evet,gerilim
siz konuş iste,gerilim
daire koy,gerilim
alarm,gerilim
yap,gerilim
anahtar ben san,gerilim
tür acil durum,gerilim
pekala,gerilim
evet,gerilim
kişisel eşya,gerilim
yang kül dönme,gerilim
ziyadesiyle mutlu et,gerilim
kişisel şey,gerilim
değerli,gerilim
kopya ben ol memnun ol,gerilim
anahtar hariç kişisel şey,gerilim
bayan evangelista,gerilim
bayan evangelista,gerilim
doğu gün bil,gerilim
hayır siz söyle hatırla,gerilim
kaç yaş ol tahmin et mi,gerilim
44 demek,gerilim
tahmin,gerilim
bayan evangelista,gerilim
bugünden postala üzerinde şifre kilit,gerilim
anahtar post kutu gelecek,gerilim
hoş kalın,gerilim
günaydın harry,gerilim
günaydın,gerilim
toplantı alaka,gerilim
makale,gerilim
bahset,gerilim
yarın gece toplantı katıl,gerilim
dikkat değ kişi biri,gerilim
bil mu,gerilim
o katıl söyle,gerilim
dinle,gerilim
dinle,gerilim
toplantı katıl bek,gerilim
konu uzman seçkin kişi ara,gerilim
hal lipset san francisco dan,gerilim
harry caul,gerilim
kenneth sperry gözetle yasal konu,gerilim
hakkında konuş,gerilim
dur dakika,gerilim
dinle,gerilim
nere lanet,gerilim
toplantı katıl kişi,gerilim
detroit michigan dan william,gerilim
mora,gerilim
detroit michigan william mora,gerilim
zaman konu uzman insan,gerilim
önem,gerilim
kahve mi,gerilim
cadillac kanat kurtul çalış,gerilim
chrysler ilet kişi oy,gerilim
uzun sür önce,gerilim
zaman büyük ol,gerilim
2 aralık saat 13 00,gerilim
alışveriş torba,gerilim
birim,gerilim
2 aralık saat 13 00,gerilim
parabolik birim,gerilim
2 aralık saat 13 00,gerilim
paris şehir birim,gerilim
düşün,gerilim
noel alacak hala kar ver,gerilim
şey ihtiyaç,gerilim
alacak,gerilim
kar ver değil,gerilim
hala kar ver,gerilim
şey ihtiyaç,gerilim
alacak hala kar ver,gerilim
ara başla et,gerilim
gör,gerilim
gerçekten eğlence biri,gerilim
ben didiş,gerilim
ipucu ver tahmin et sağla gerek,gerilim
rahat,gerilim
rahat,gerilim
dön dolan,gerilim
bak,gerilim
berbat,gerilim
kimse zarar dokun,gerilim
tanrı,gerilim
zaman yaş adam biri gör,gerilim
zaman yaş adam biri gör,gerilim
aynı düşün,gerilim
düşün,gerilim
zamanla biri bebek düşün,gerilim
hayır gerçekten düşün,gerilim
zamanla biri bebek,gerilim
sev anne baba sahip,gerilim
bank,gerilim
yarı ölü şekil yat,gerilim
anne baba,gerilim
amca,gerilim
düşün,gerilim
zaman gazete grev orta çık,gerilim
yaş öl düşün,gerilim
50 kişi gece don can ver,gerilim
tünaydın,gerilim
yardımcı ol,gerilim
evet,gerilim
dahili 746,gerilim
dakika,gerilim
müdür oda,gerilim
evet bay caul,gerilim
kayıtla el,gerilim
randevu ara,gerilim
üzgün,gerilim
mü bey yer çok terk,gerilim
yarın sabah geri ara,gerilim
telefon numara al mi,gerilim
telefon kulübe,gerilim
ev telefon,gerilim
dakika bekle,gerilim
bay caul,gerilim
evet,gerilim
yarın öğle 2 30,gerilim
yarın öğle 2 30,gerilim
öde yap,gerilim
anlaş şekil,gerilim
teşekkür et,gerilim
ol,gerilim
harry,gerilim
sela amy,gerilim
gelecek düşün,gerilim
şarap getir,gerilim
doğu gün hediye ver,gerilim
bugün doğu gü bil,gerilim
al mı,gerilim
evet,gerilim
al,gerilim
kaç yaş harry,gerilim
42,gerilim
güzel,gerilim
doğu gün ara özel,gerilim
kişisel,gerilim
mesela,gerilim
kendinden,gerilim
sır bahset,gerilim
sır,gerilim
sır,gerilim
sır harry,gerilim
bil,gerilim
hayır,gerilim
bura gel,gerilim
söyle,gerilim
kere merdiven boşluk,gerilim
saat boyunca,gerilim
saklan,gerilim
bura izle vaziyet gör,gerilim
yap yakala düşün,gerilim
bil mu,gerilim
bil,gerilim
kadın zaman anla,gerilim
kapı kendi has şekil aç,gerilim
anahtar yuva sessiz şekil sok,gerilim
kapı hızlı şekil aç,gerilim
üst yakala düşün,gerilim
telefon konuş,gerilim
dinle düşün,gerilim
bahset,gerilim
bil,gerilim
hisset,gerilim
gerçekten hisset,gerilim
şarkı söyle,gerilim
güzel,gerilim
sor ne,gerilim
bugün şarkı başka söyle,gerilim
kız,gerilim
evet,gerilim
hayır,gerilim
hayır,gerilim
düşün,gerilim
kıskan,gerilim
hayır,gerilim
yer,gerilim
hatırla,gerilim
çalış harry,gerilim
fark ye fark işle bil,gerilim
nev müzisyen,gerilim
serbest müzisyen,gerilim
otur,gerilim
ev ara,gerilim
ev telefon,gerilim
baş yaşa,gerilim
soru sor,gerilim
doğu gü,gerilim
i̇nsanların soru boğ iste,gerilim
tanı iste,gerilim
evet baş yaşa,gerilim
fazla soru cevap ver durum değil,gerilim
kira vakit gel,gerilim
para bırak,gerilim
eskiden soru sor,gerilim
harry gece bura gel mutlu,gerilim
kapı aç duy,gerilim
yorga alt dizle titre başla,gerilim
bekle düşün,gerilim
mü bey paket,gerilim
götür,gerilim
hayır,gerilim
ver gerek,gerilim
randevu,gerilim
bay caul mu,gerilim
evet,gerilim
bay caul,gerilim
pekala,gerilim
rahat bak,gerilim
mü bey asistan,gerilim
yap güzel noel kurabiye,gerilim
tane mi,gerilim
güzel,gerilim
hayır teşekkür et,gerilim
gör,gerilim
para,gerilim
15 000 nakit iste,gerilim
kayıtla,gerilim
mü be randevu,gerilim
elden teslim et iste,gerilim
anla,gerilim
ülke dış,gerilim
kayıt al para siz ver rica,gerilim
san bekle,gerilim
işe burn sok bay caul,gerilim
kayıtla tehlike,gerilim
duy,gerilim
de anla,gerilim
biri can yan,gerilim
bay caul dikkatli ol,gerilim
ol,gerilim
gör,gerilim
gerçekten eğlence biri,gerilim
muhabbet başla,gerilim
başla,gerilim
başla,gerilim
evet başla,gerilim
hatırla,gerilim
espri yap davran,gerilim
rahat,gerilim
rahat,gerilim
dön dolaş,gerilim
bak,gerilim
berbat,gerilim
kimse zarar dokun,gerilim
tanrı,gerilim
zaman yaş adam biri gör,gerilim
aynı düşün,gerilim
düşün,gerilim
evet düşün,gerilim
zamanla biril,gerilim
harry mol ver de,gerilim
barın git,gerilim
bira ısmarla,gerilim
hayır bitir iste,gerilim
kayıt teslim san,gerilim
stan sessiz,gerilim
yap düşün mu,gerilim
i̇çmekten sıkıl,gerilim
aptal muhabbet,gerilim
stan,gerilim
çalış çalış,gerilim
sıkıl durum,gerilim
bende sıkıl,gerilim
sıkıl bugün,gerilim
tanrı aşk bahset,gerilim
stanley,gerilim
bitir çalış,gerilim
dellenme,gerilim
usan başla,gerilim
usan,gerilim
gün soru sor dur,gerilim
tanrı,gerilim
söyle,gerilim
tanrı aşk,gerilim
stan söyle dur,gerilim
kelime boş yer kullan,gerilim
rahat,gerilim
sor ne harry,gerilim
i̇şleri baştan sağ yap başla,gerilim
hafta son pazar ol,gerilim
kesinlikle pazar,gerilim
ne konuş ziyade,gerilim
kay dikkat et ol,gerilim
yap ol,gerilim
ne ol sor soru rahat,gerilim
otur müşteri kişisel sorun anlat,gerilim
jack tar otel,gerilim
saat 3,gerilim
od numara 773,gerilim
bilgilen ol,gerilim
düşün,gerilim
sen ben alaka,gerilim
merak dene harry insan doğa parça,gerilim
dinle meslek öğren,gerilim
sağlam kural var,gerilim
i̇nsan doğ merak hakkında bil,gerilim
yap işle alaka,gerilim
iş bu uğraş,gerilim
