Processed_Sentence,Etiket
başla bak,müzik
kapkara gözle aç kocaman i̇fade ver vakit gel,müzik
yalan ye bekle,müzik
git otur telefon baş,müzik
yapayalnız yol kenar,müzik
git otur telefon baş,müzik
yapayalnız yol kenar,müzik
roger,müzik
harika adams evet müthiş avukat,müzik
ol,müzik
hayır sen evlen iste,müzik
deli mi,müzik
der ne,müzik
bit roger,müzik
aman,müzik
tir,müzik
kahrolası erkek,müzik
ağla,müzik
evet ağla,müzik
gül,müzik
bağır,müzik
bil,müzik
kalp kır kız,müzik
ol yap,müzik
ally çöp,müzik
sela bryan,müzik
başka yap,müzik
bırak usta,müzik
sır se,müzik
tanrı aşk,müzik
kim konuş,müzik
yukarı görüş,müzik
yap bryan,müzik
gece sahne al,müzik
i̇şte,müzik
çöp at,müzik
ağız sil,müzik
erken çıkma iz ver iş bitir,müzik
ağız çık dikkat,müzik
dünya umut karmaşa ol,müzik
yağmur damla etraf dön dur,müzik
cennet sihir yol aç,müzik
bulut gökyüzü karar,müzik
gökkuşağı yol bul,müzik
bi̇r yildiz doğ,müzik
nere yahu,müzik
şehir doğu,müzik
başka,müzik
hayır,müzik
kusur bak jack,müzik
trafik var saat 40 dakika sür,müzik
yap,müzik
evet,müzik
bence bura bul,müzik
bul,müzik
bul,müzik
çocuk,müzik
kaç yaş,müzik
17,müzik
yuh,müzik
üniversite beyzbol burs kazan,müzik
vay,müzik
süper,müzik
o gurur duy,müzik
ufak ada ufak,müzik
ev git iste,müzik
iç ye bul,müzik
kusur bak jack,müzik
bura bil,müzik
sağ döner mi,müzik
emin mi,müzik
evet,müzik
i̇şte,müzik
bar benze,müzik
yaz,müzik
bleu bleu,müzik
dur,müzik
bak,müzik
vay ana,müzik
bekle,müzik
dost,müzik
mi bar,müzik
evet uy bil,müzik
alkol,müzik
evet zaman uy,müzik
hadi,müzik
fena,müzik
nasıl birader,müzik
mı,müzik
i̇çecek bul ol,müzik
i̇yi mi,müzik
evet,müzik
vay,müzik
i̇şte bar,müzik
bayan arkadaş giselle isma,müzik
sela nasıl,müzik
jack,müzik
jack,müzik
evet evet pardo birader,müzik
ada iste ver mi,müzik
buz limon cin al mi,müzik
masmavi tepe bulut,müzik
birader vay,müzik
heyecan,müzik
zenne bar,müzik
evet birader,müzik
cuma gece yap,müzik
çılgın eğlence,müzik
halüsinasyon gör falan başla san,müzik
onur falan hayır gel,müzik
elbise falan,müzik
gel,müzik
iç mi,müzik
içki söyle,müzik
evet,müzik
vay,müzik
gece çık ora yık,müzik
siz gece ora yık,müzik
hazır,müzik
yık,müzik
hanım müzik bildir unut,müzik
gece yan getir,müzik
profesyonel gösteri,müzik
süper,müzik
kal,müzik
i̇yi̇ymi̇ş hoş git,müzik
yol,müzik
i̇yi mi,müzik
evet nick yle konuş,müzik
nick tanı mu,müzik
sela nick,müzik
nasıl,müzik
hayat hikaye anlat,müzik
büyüle,müzik
kız çık,müzik
hep tanı,müzik
eskiden garson yap,müzik
gece biz muhteşem fransız canlı vokal ikra,müzik
cidden söyle,müzik
karaoke falan,müzik
hayır söyle birader,müzik
yem et söyle,müzik
i̇zle,müzik
i̇zle,müzik
gece fransız manikür iste,müzik
evet can,müzik
i̇şte,müzik
vay ana,müzik
ağla mu,müzik
birazcık,müzik
o tanış lazım,müzik
de,müzik
o tanış lazım,müzik
hayır tanış,müzik
tanış,müzik
hadi,müzik
donte bez can,müzik
sağ,müzik
bayan ally gece fransızca söyle,müzik
hafta başka seç,müzik
bil başka dil söyle,müzik
fas söyle,müzik
hayır,müzik
arkadaş jackson mai,müzik
sela,müzik
jackson mai,müzik
sela,müzik
nasıl,müzik
sela,müzik
sela,müzik
tanrı,müzik
arkadaş ally,müzik
tanrı,müzik
merhaba,müzik
sela,müzik
ol düşün,müzik
de,müzik
ol düşün,müzik
sağ,müzik
otur mi,müzik
hayır,müzik
gece ayak,müzik
hayır,müzik
