Processed_Sentence,Etiket
komşu birbiri bağır duy,polisiye
i̇ki saat,polisiye
normal şe,polisiye
silah duy,polisiye
i̇ki ateş et,polisiye
aşk cinayet,polisiye
duvar aşk bak,polisiye
kağıt dök kal,polisiye
çocuk gör,polisiye
çocuk,polisiye
biçim soru,polisiye
somerset bak kurtul,polisiye
hep sevin,polisiye
soru sor,polisiye
çocuk gör,polisiye
kim umur,polisiye
ada öl,polisiye
karı öldür,polisiye
başka ilgilen,polisiye
dedektif somerset,polisiye
dedektif mills,polisiye
gel 20 dakika bura bırak,polisiye
mills bak,polisiye
bura bar git konuş düşün,polisiye
bölge git,polisiye
malum konu adapte ol,polisiye
yeterli zaman,polisiye
telefon konuş,polisiye
soru sor,polisiye
anla,polisiye
bura transfer uğraş,polisiye
akıl düş soru buy,polisiye
san sen aynı neden,polisiye
ayrıl,polisiye
kar ver zaman neden,polisiye
yeni tanı,polisiye
soru anla,polisiye
basit,polisiye
görev al uğraş,polisiye
rastla,polisiye
i̇yi yap düşün,polisiye
birbiri dalaş,polisiye
gerçekten sevin,polisiye
iple el yüzbaşı,polisiye
evet,polisiye
bak dinle iste,polisiye
bak sokak bekçi yap,polisiye
yıl boyunca cinayet masa,polisiye
ora,polisiye
dedektif ön gün boyunca,polisiye
akıl çıkar dil,polisiye
tekrarla mı,polisiye
bura acil iş uzaklaş gel san,polisiye
serpico nun git vakit,polisiye
küçük çapak kurtul iste,polisiye
göz,polisiye
çık,polisiye
çık,polisiye
i̇yi,polisiye
kahve,polisiye
hayır,polisiye
şe doku,polisiye
aynı bul,polisiye
ölüm zaman tescil et,polisiye
siz de elle,polisiye
yüz makarna tabak,polisiye
45 dakika dur ol,polisiye
nabız kontrol et,polisiye
söyle,polisiye
herif,polisiye
makarna sos solu nefes al,polisiye
demek işle yürü,polisiye
özür dil dedektif,polisiye
ada pislik üzerinde otur,polisiye
öl ol çok kalk herhalde,polisiye
teşekkür et,polisiye
sağol,polisiye
düşün,polisiye
o konuş,polisiye
var iste konu ne,polisiye
bil,polisiye
polis bilir kaç,polisiye
ölü ölü beden bul,polisiye
unut,polisiye
guinness rekor kitap ara,polisiye
galiba rekor,polisiye
güzel ev bahçe,polisiye
cinayet söyle,polisiye
ada kalbi do bud büyük,polisiye
kalp kriz değil,polisiye
başka ol,polisiye
olamaz,polisiye
de,polisiye
dav,polisiye
ada ölü yer sırt bıçak sapla,polisiye
cinayet,polisiye
lanet,polisiye
sigorta poliçe ol,polisiye
demek ada bıçak al,polisiye
kürek kemik sapla,polisiye
çuvalla fazla yar arka,polisiye
sus mı,polisiye
dakika,polisiye
kova,polisiye
içinde,polisiye
aman tanrı kusmuk,polisiye
i̇çinde kan,polisiye
gör,polisiye
buyur bak,polisiye
se zehirle,polisiye
bura atmosfer,polisiye
harika,polisiye
somerset zehirle,polisiye
bey adli tıp uzman dışarı,polisiye
hep sığ mı bil,polisiye
ye,polisiye
problem ışık,polisiye
merhaba,polisiye
dedektif mills memur yar et mi,polisiye
komşu sorgula,polisiye
adli tıp bura yolla,polisiye
öl,polisiye
teşekkür doktor,polisiye
dosya gör,polisiye
yap gör,polisiye
kap kap dolaş herkes sorgula,polisiye
saçmalık uzun sür yap,polisiye
kemer rozet dedektif yaz,polisiye
aynı sen,polisiye
bak kar ver,polisiye
olay gerçek araştır,polisiye
cinayet yerinde yeterince kalıp kal,polisiye
umur,polisiye
bak ahbap,polisiye
düzgün davran,polisiye
iste,polisiye
düzgün davran,polisiye
öl uzun zaman,polisiye
ol kesinlikle zehirle,polisiye
hayır,polisiye
i̇nsan kendi yap,polisiye
hademe masa üstüne koy,polisiye
şişko ev kapı çık,polisiye
belli ev çık,polisiye
bak,polisiye
