Processed_Sentence,Etiket
merhaba,dram
ad forrest,dram
forrest gump,dram
çikolata mi,dram
bu buçuk tane ye,dram
anne zaman hayat kutu çikolata söyle,dram
i̇çinde asla bil,dram
ayakkabı rahat ol,dram
emin ayakkabı gün yürü yürü hisset,dram
ayakkabı,dram
ayakla acı,dram
anne zaman insa,dram
ayakkabı bak hakkında anlaş söyle,dram
git ol,dram
ayakkabı giy,dram
emin düşün,dram
ayakkabı hatırla,dram
anne yer götür söyle,dram
sihir ayakkabı söyle,dram
forrest göz,dram
dolaş,dram
ayakkabı nasıi,dram
bacak güçlü bayan gump gör güçlü bacak,dram
sırt politika eğri,dram
düz forrest,dram
bebek anne i̇ç savaş kahraman ad ver,dram
general nathan bedford forrest,dram
o akraba söyle,dram
klux klan ad kulüp kur,dram
cüppe çarşaf üst giy,dram
grup hayalet gulyabani davran,dram
at çarşafla ört at bin,dram
ad al forrest gump,dram
anne forrest ad yap şey,dram
mantık ol hatırla söyle,dram
taraf,dram
bekle,dram
bak,dram
bacak tel küçük çocuk gör,dram
kimse söyle iz ver forrest,dram
tanrı aynı ol iste,dram
hep bacak tel tak,dram
anne şey anlat mutlaka yol bul,dram
17,dram
karayolu yaklaşık 400 metre uzak,dram
alaba greenbow kasaba 800 metre uzak otur,dram
greenbow belde bağ,dram
ev anne dede dede dede yıi,dram
okyanus öte gel aile ait,dram
anne oda boş,dram
anne oda geç kirala kar ver,dram
mobil montgomery yer gel,dram
anne par kazan,dram
anne zeki kadın,dram
söyle hatırla forrest,dram
öteki fark değil,dram
de duy forrest,dram
gibi,dram
fark değil,dram
oğul fark bayan gump,dram
75,dram
hep birbiri fark bay hancock,dram
eğitim al iste,dram
greenbow belde merkez okul götür,dram
mü öteki tanış,dram
siz göster iste bayan gump,dram
normal,dram
forrest,dram
eyalet devlet okul giriş 80,dram
gerek,dram
bayan gump özel okul git zor,dram
ol,dram
normal anlam,dram
yavaş anla ol oğul forrest,dram
sahip fırsat sahip ol,dram
lastik kaplama öğren özel okul git,dram
5 puan söz et,dram
yap ol,dram
