Processed_Sentence,Etiket
ad max,aksiyon
dünya ateş kandır,aksiyon
insan zarar ver,aksiyon
petrol aptal,aksiyon
petrol savaş,aksiyon
benzzin öldür,aksiyon
benzzin,aksiyon
dünyada tüken,aksiyon
savaş,aksiyon
zamanla polis,aksiyon
adil gay ara yol savaşçı,aksiyon
dağıt nokta geç,aksiyon
i̇nsanoğlu ipsiz sap kendi terör es hal gel,aksiyon
robotik termonükleer çarpış,aksiyon
yeryüzü bozuk,aksiyon
kemik zehirle,aksiyon
ömür yarı yarı düş,aksiyon
dünya çök,aksiyon
biri çap parçala,aksiyon
kim fazla çılgın kes zor,aksiyon
geri kal,aksiyon
merhaba,aksiyon
nere,aksiyon
nere max,aksiyon
nere max,aksiyon
i̇şte gel,aksiyon
max rockatansky,aksiyon
beyin kara madde solucan gel,aksiyon
yar max,aksiyon
yar et söz ver,aksiyon
kendi de,aksiyon
dokun,aksiyon
çoktandır ölü,aksiyon
peş git,aksiyon
peş git,aksiyon
ölü canlı kaç,aksiyon
leş avlan,aksiyon
koru musallat ol,aksiyon
çorak toprak yaşa,aksiyon
içgüdü indirge adam,aksiyon
hayat kal,aksiyon
0 negatif yüksek oktan genel ver,aksiyon
max,aksiyon
mi,aksiyon
nere,aksiyon
yar,aksiyon
nere,aksiyon
yar max,aksiyon
nere max,aksiyon
yar,aksiyon
yar max,aksiyon
kaç bırak,aksiyon
ölü terk et,aksiyon
ölü terk et,aksiyon
ölü terk et,aksiyon
yar et söz ver,aksiyon
şahit,aksiyon
çilgin max gazap yol,aksiyon
bizle savaş çocuk,aksiyon
savaş çocuk,aksiyon
delikaze savaş çocuk,aksiyon
savaş çocuk,aksiyon
fucacima delikaze savaş çocuk,aksiyon
bağla,aksiyon
bugün petrol kasaba git,aksiyon
petrol kasaba,aksiyon
bugün tır aqua kol taş,aksiyon
aqua kol,aksiyon
bugün ürün taş,aksiyon
ürün,aksiyon
bugün anne süt taş,aksiyon
anne süt,aksiyon
ver coşku ölümsüs joe,aksiyon
petrol kasaba benzzin,aksiyon
mermi çiftlik mermi getir,aksiyon
savaş tır gönder,aksiyon
muzaffer furiosa saygı selamla,aksiyon
valhalla nın sonsuz otoban,aksiyon
ben yol al yarı ömür,aksiyon
savaş çocuk selamla,aksiyon
mesih inizim,aksiyon
dünya kül el doğ,aksiyon
gel,aksiyon
hazır,aksiyon
evet,aksiyon
evet,aksiyon
evet,aksiyon
gel,aksiyon
sakın ol dost su bağımlı hal gel,aksiyon
etki alt al,aksiyon
yok ağır git,aksiyon
çek,aksiyon
hepsi düşür,aksiyon
i̇tin,aksiyon
petrol kasaba sinyal ver,aksiyon
konvoy yol bildir,aksiyon
sıfır tüket savaş çocuk el,aksiyon
hayat bağla,aksiyon
dikkat,aksiyon
genel ver,aksiyon
patron petrol kasaba git mu,aksiyon
mermi çiftlik,aksiyon
doğu git,aksiyon
herkes ilet,aksiyon
yeni emir,aksiyon
gürle,aksiyon
gürle,aksiyon
ikmal seferi,aksiyon
yürü,aksiyon
yürü,aksiyon
yürü,aksiyon
ace ne,aksiyon
doğu git,aksiyon
bil,aksiyon
