Processed_Sentence,Etiket
amerika duy savaş boru se,savaş
bil çağır herkes,savaş
san gün bit,savaş
herkes birbiri ayır savaş,savaş
elveda tatlı merhaba vietnam,savaş
bura gel savaş kazan,savaş
elveda mektup yazma sakın unut,savaş
elveda tatlı merhaba vietnam,savaş
uzman çavuş hartman eğitim sorumlu,savaş
siz söylen konuş,savaş
ağız çık son sözcük efendim ol,savaş
anla pislik herif,savaş
efendim evet efendim,savaş
duy,savaş
bağır taşak herif ol göster,savaş
ana kuzu ada kurtul acemi eğitim bitir,savaş
çakı ol savaş yalvar ölüm makine ol,savaş
gün gel bok değil,savaş
dünya aşağı yaratık,savaş
i̇nsan değil,savaş
düzen bok yar yaratık,savaş
sert sev,savaş
nefret et öğren,savaş
sert adil,savaş
irklar ara ayırım yap,savaş
zenci yahudi i̇talyanları aşağıla,savaş
hep aynı ölçü değersiz,savaş
sevgili de kuvvet,savaş
kıç topla beceriksiz kurtar emret,savaş
anla pis herif,savaş
sik,savaş
duy,savaş
ad pislik,savaş
efendim brown efendim,savaş
gündüz fener,savaş
yeni isim beğen,savaş
efendim evet efendim,savaş
hoş git,savaş
kantin kara kıç,savaş
yemek yap,savaş
mi john wayne,savaş
mi,savaş
söyle,savaş
piç söyle,savaş
ölüm emir imza at,savaş
hanım evlat komünist ibne,savaş
sik ruh söyle,savaş
harika,savaş
hep eğitim sürün,savaş
göt kan gel koş,savaş
mi aşağı herif,savaş
korkak tavuk gibi,savaş
emin sen,savaş
efendim söyle efendim,savaş
hadi,savaş
nes soytarı,savaş
palyaço,savaş
dürüst hoş git,savaş
sev,savaş
gün gel kız kardeş sik,savaş
adi herif,savaş
ad al,savaş
ben,savaş
gül ağla,savaş
harf harf öğren,savaş
kalk,savaş
kalk ayak,savaş
kendi gel gözlük sıç dünya bombok gör,savaş
sevgili de kuvvet gir,savaş
efendim öldür efendim,savaş
katil,savaş
savaş bağır göster bak,savaş
yap mi,savaş
bak,savaş
se gör,savaş
etkile,savaş
dene,savaş
korkut,savaş
konu çalış,savaş
özür,savaş
efendim efendim,savaş
soru sor anla,savaş
teşekkür,savaş
komuta devral mi,savaş
titre mu,savaş
kork mu,savaş
evet efendim,savaş
korkut mu,savaş
pislik de,savaş
boy kaç asker,savaş
efendim 1 75 efendim,savaş
büyük bok sıç bil,savaş
kazıkla san,savaş
tohum kısım anne bacak ara kıç kaç,savaş
çarşaf damla kahverengi leke bırak,savaş
nere,savaş
allah kahret,savaş
teksas tan ibne öküz çık kovboy,savaş
öküz benze ol belli,savaş
ağız al mı,savaş
saksofoncu labunya mı,savaş
emin ada göt sik,savaş
at nezaket göster,savaş
göz üst,savaş
kardeş geri zeka,savaş
anne yap pişman,savaş
çirkin modern sanat müze kon lazım,savaş
ad şişko,savaş
efendim leonard lawrence efendim,savaş
arabistan lawrence,savaş
asilzade isim,savaş
asilzade mi,savaş
ağız al mı,savaş
emin hortum iç golf top çek yut,savaş
i̇smini beğen,savaş
ibne gemi lawrence isim,savaş
ad i̇nek şaban,savaş
se yakışıklı mı şaban,savaş
komik mi,savaş
öyle salak sırıt kes,savaş
bekle tatlı,savaş
dene efendim,savaş
saniye,savaş
tam tam saniye,savaş
salak sırıt kes,savaş
göz oy beyin sik,savaş
efendim durdur efendim,savaş
diz üstüne çök pislik,savaş
boğazla,savaş
lanet el kullan taşak kafa,savaş
el çekme,savaş
boğazla de,savaş
öne eğil boğazla,savaş
sırıt kes,savaş
sik,savaş
duy,savaş
sik,savaş
hala duy,savaş
bağır taşak göster,savaş
yeter,savaş
ayak kalk,savaş
şaban kıç topla ada davran başla,savaş
ağız sıç,savaş
parris ada güney carolina,savaş
birleşik devlet de kuvvet acemi birlik,savaş
palavra cesur kudur gözüpek hafta eğitim,savaş
anne baba yat yatak,savaş
anne dön de,savaş
hadi,savaş
eğit,savaş
güneş doğ kalk,savaş
gün koş,savaş
iş bit koş,savaş
chi minh orospu çocuk,savaş
bit frengi,savaş
sol o,savaş
sevgili de kuvvet yap çalış,savaş
bil efendim,savaş
sağ sol bil inan bekle,savaş
bilerek yap,savaş
fark iste,savaş
taraf,savaş
efendim sol efendim,savaş
emin mi şaban,savaş
taraf,savaş
efendim sağ efendim,savaş
ben kaf bul şaban,savaş
sıç şapka,savaş
gece tüfek uyu pislik herif,savaş
tüfek kadın isim ver,savaş
el alt am ol,savaş
el güzel pembe don iç sok,savaş
sümük komşu kız parmakla devri bit,savaş
silah evli,savaş
tahta demir yap şe,savaş
sadık kal,savaş
yat hazır,savaş
dua et,savaş
tüfek,savaş
sürü tüfek,savaş
tüfek dost,savaş
hayat,savaş
efendi hayat efendi ol,savaş
ol tüfek işe yaramaz,savaş
tüfek ol işe yar,savaş
tüfek kullan,savaş
öldür çalış düşman ateş et,savaş
vur vur,savaş
vur,savaş
tanrı huzur ant iç,savaş
tüfek yurt bekçi,savaş
düşman efendi,savaş
hayat koru,savaş
ol,savaş
düşman öl barış sağ,savaş
amin,savaş
rahat,savaş
i̇yi gecele hanım evlat,savaş
git yat,savaş
baba tabanca kovboy,savaş
tüfek baş üst geçir baş tüfek alt,savaş
göğüs 4 santi uzak ol şaban,savaş
4 santi,savaş
tüfek,savaş
silah,savaş
dövüş,savaş
eğlen,savaş
tüfek,savaş
silah,savaş
dövüş,savaş
eğlen,savaş
yayla,savaş
saniye,savaş
engel saniye geç lazım,savaş
hızlı kurtul şura,savaş
engel saniye kısa zaman geç dallama,savaş
asla çık,savaş
sıra,savaş
geç engel,savaş
katil mi palyaço,savaş
savaş çığlık duy bak,savaş
hadisene koca göt,savaş
şaban,savaş
aman çık güç harca,savaş
tanrı çıkma iste mucize kıç yerleş,savaş
tırman şura koca göt,savaş
der,savaş
yukarı güzel ol çıkar,savaş
götün 100 kilo çuval benze şaban,savaş
tane komuta,savaş
tane de kuvvet,savaş
hadi bak,savaş
çek,savaş
bizimki demek,savaş
başla şaban,savaş
çek,savaş
çek şaban çek,savaş
tane şaban,savaş
hadi çek,savaş
ben kaf bula,savaş
koca göt kaldır bak,savaş
tane yap söyle iste,savaş
bok yaramaz herif tek şaban,savaş
göz gör,savaş
hadi bak gündüz fener,savaş
çık bak şişko,savaş
hızlı,savaş
çık bak şaban,savaş
çık,savaş
engel morukla tırman,savaş
bil mu şaban,savaş
gel bura,savaş
yavaş,savaş
hadi,savaş
şaban yap yap sakın düş,savaş
kalp kır,savaş
tırman şura geç,savaş
tırman geç,savaş
şaban bekle allah bela,savaş
tırman geç,savaş
hadi hadi,savaş
bırak mı,savaş
öyle bırak ayı balık kılık bok çuval,savaş
sik git engel,savaş
sik git engel,savaş
hadi,savaş
taşak kopar soy kuru,savaş
ada et şaban,savaş
kongo daki yamyam çük küçül bekle gerekse,savaş
ayak kaldır tekrar yer bas şaban,savaş
hızlı,savaş
hadi,savaş
şişko aşağı bok çuval doğ şaban,savaş
uğraş,savaş
hadi,savaş
hızlı,savaş
acele,savaş
git kahrolası savaş bit ol şaban,savaş
geber mi,savaş
el kal,savaş
hadi koş,savaş
hadi,savaş
hızlan,savaş
hızlı,savaş
baş dön,savaş
bayıl mı,savaş
tanrı san sen kalk,savaş
hızlı ana kuzu,savaş
göt herif,savaş
hadi,savaş
kalk,savaş
kalk zaman,savaş
at bırak giyin,savaş
bugün pazar,savaş
i̇badet saat 08 00,savaş
yatak yap üniforma giy,savaş
i̇ki dakika mıntıka temiz,savaş
kovboy palyaço,savaş
yatak yap tuvalet temizle,savaş
tuvalet temizle,savaş
meryem ana işe,savaş
meryem ana inan mu,savaş
efendim hayır efendim,savaş
palyaço san yanlış anla,savaş
asker hayır efendim de efendim,savaş
pis herif,savaş
mide bulan,savaş
din komünist meryem ana sev söyle,savaş
ağız burn dağıt,savaş
meryem ana sev,savaş
olumsuz efendim,savaş
karşı gel,savaş
asker cevap ver ver yanlış ol düşün,savaş
fikir değiş kötü döv inan efendim,savaş
manga baş,savaş
manga baş gündüz fener efendim,savaş
gündüz fener emir efendim,savaş
görev al,savaş
manga baş palyaço,savaş
kaybol pislik,savaş
emret efendim,savaş
manga baş palyaço,savaş
o aynı ranza yat,savaş
eğit,savaş
işe öğret,savaş
palyaço cahil cesur ada cesaret savaş yeterli,savaş
evet ana kuzu iş baş,savaş
mekanizma tırnak iç gir,savaş
mermi hazne sür kısım,savaş
harbi,savaş
sol sağ üst,savaş
sağ sol,savaş
sol sağ,savaş
sağ sol,savaş
bacak geçir,savaş
bacak geçir bit,savaş
hadi geçir,savaş
i̇şte,savaş
bacak koy,savaş
tebrik leonard,savaş
başar,savaş
battaniye çarşaf katla,savaş
10 santi ol,savaş
anla,savaş
yap,savaş
sağ o,savaş
sela dur,savaş
esas dur,savaş
silah düzgün tut,savaş
dünya öldür silah,savaş
deniz tüfek,savaş
savaş canlı kal iste,savaş
öldür içgüdü kullan,savaş
tüfek,savaş
araç,savaş
öldür çelik yürek,savaş
öldür içgüdü yeterince güçlü sağlam değil,savaş
gerçekle yüz gel tereddüt et,savaş
öldür,savaş
ölü deniz ol,savaş
boğaz bok sapla,savaş
deniz,savaş
iz al öl,savaş
anla aşağı herif,savaş
sam amca çalış sev,savaş
sayesinde ol bil,savaş
birleşik devlet de kuvvet,savaş
sev deniz,savaş
deniz,savaş
deniz,savaş
deniz,savaş
hep deniz,savaş
bil duy,savaş
eskimo am buz,savaş
hımm,savaş
i̇yi,savaş
